step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,12B:13B,12,B,13,B,3,3,20
1,13B:13B,13,B,13,B,3,3,20
2,14B:14B,14,B,14,B,3,3,20
3,9B:2A,9,B,2,A,3,2,20
4,11B:7B,11,B,7,B,2,2,20
5,5B:8B,5,B,8,B,2,2,20
6,4B:9B,4,B,9,B,2,2,20
7,3B:14B,3,B,14,B,2,2,20
8,11B:15B,11,B,15,B,2,2,20
9,10B:3B,10,B,3,B,2,2,20
10,11B:8B,11,B,8,B,2,2,20
11,15B:11B,15,B,11,B,2,2,20
12,10B:1A,10,B,1,A,2,1,20
13,15B:14B,15,B,14,B,1,1,20
14,10B:13B,10,B,13,B,1,1,20
15,1B:7B,1,B,7,B,1,1,20
16,5B:1B,5,B,1,B,1,1,20
17,8B:11B,8,B,11,B,1,1,20
18,17B:2B,17,B,2,B,1,1,20
19,8B:3B,8,B,3,B,1,1,20
20,15B:7B,15,B,7,B,1,1,20
21,4B:18B,4,B,18,B,1,1,20
22,13B:19B,13,B,19,B,1,1,20
23,12B:5B,12,B,5,B,1,1,20
24,12B:6B,12,B,6,B,1,1,20
25,16B:1B,16,B,1,B,1,1,20
26,11B:17B,11,B,17,B,1,1,20
27,5B:17B,5,B,17,B,1,1,20
28,3B:9B,3,B,9,B,1,1,20
29,5B:8B,5,B,8,B,1,1,20
30,19B:16B,19,B,16,B,1,1,20
31,19B:3B,19,B,3,B,1,1,20
32,2B:13B,2,B,13,B,1,1,20
33,18B:8B,18,B,8,B,1,1,20
34,17B:4B,17,B,4,B,1,1,20
35,13B:4B,13,B,4,B,1,1,20
36,4B:10B,4,B,10,B,1,1,20
37,16B:12B,16,B,12,B,1,1,20
38,9B:18B,9,B,18,B,1,1,20
39,12B:13B,12,B,13,B,1,1,20
40,7B:2B,7,B,2,B,1,1,20
41,12B:2B,12,B,2,B,1,1,20
42,7B:8B,7,B,8,B,1,1,20
43,13B:11B,13,B,11,B,1,1,20
44,8B:15B,8,B,15,B,1,1,20
45,6B:0A,6,B,0,A,1,0,20
