step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,16B:16B,16,B,16,B,7,7,20
1,6A:8B,6,A,8,B,7,8,20
2,10B:9B,10,B,9,B,8,8,20
3,4A:16B,4,A,16,B,8,9,20
4,6A:16A,6,A,16,A,9,9,20
5,8A:19B,8,A,19,B,9,10,20
6,1A:18B,1,A,18,B,10,11,20
7,18A:14B,18,A,14,B,11,12,20
8,9B:9B,9,B,9,B,12,12,20
9,1A:5A,1,A,5,A,12,12,20
10,11B:1A,11,B,1,A,12,11,20
11,16A:5A,16,A,5,A,11,11,20
12,17B:16A,17,B,16,A,11,10,20
13,17B:11B,17,B,11,B,10,10,20
14,6A:0A,6,A,0,A,10,10,20
15,13B:8A,13,B,8,A,10,9,20
16,12B:15B,12,B,15,B,9,9,20
17,10B:18A,10,B,18,A,9,8,20
18,10B:12B,10,B,12,B,8,8,20
19,1B:11B,1,B,11,B,8,8,20
20,14A:14A,14,A,14,A,8,8,20
21,5A:17B,5,A,17,B,8,9,20
22,17A:2A,17,A,2,A,9,9,20
23,3A:19A,3,A,19,A,9,9,20
24,7B:12B,7,B,12,B,9,9,20
25,15B:10B,15,B,10,B,9,9,20
26,11B:5A,11,B,5,A,9,8,20
27,10B:14A,10,B,14,A,8,7,20
28,15B:11B,15,B,11,B,7,7,20
29,9B:14B,9,B,14,B,7,7,20
30,11B:2A,11,B,2,A,7,6,20
31,5B:12B,5,B,12,B,6,6,20
32,7B:12B,7,B,12,B,6,6,20
33,11B:13B,11,B,13,B,6,6,20
34,11B:0A,11,B,0,A,6,5,20
35,6A:13B,6,A,13,B,5,6,20
36,3A:0B,3,A,0,B,6,7,20
37,19A:15B,19,A,15,B,7,8,20
38,14B:11B,14,B,11,B,8,8,20
39,17A:11B,17,A,11,B,8,9,20
40,17A:19A,17,A,19,A,9,9,20
41,17A:16B,17,A,16,B,9,10,20
42,7B:3A,7,B,3,A,10,9,20
43,6A:1B,6,A,1,B,9,10,20
44,0A:5B,0,A,5,B,10,11,20
45,16A:14B,16,A,14,B,11,12,20
46,16A:1A,16,A,1,A,12,12,20
47,17A:5A,17,A,5,A,12,12,20
48,6A:5A,6,A,5,A,12,12,20
49,1A:14A,1,A,14,A,12,12,20
50,15A:5A,15,A,5,A,12,12,20
51,17A:8B,17,A,8,B,12,13,20
52,14A:15A,14,A,15,A,13,13,20
53,2B:1A,2,B,1,A,13,12,20
54,0A:17A,0,A,17,A,12,12,20
55,1B:13A,1,B,13,A,12,11,20
56,16A:6A,16,A,6,A,11,11,20
57,8A:13B,8,A,13,B,11,12,20
58,2B:14A,2,B,14,A,12,11,20
59,14B:18B,14,B,18,B,11,11,20
60,1B:0A,1,B,0,A,11,10,20
61,11A:4A,11,A,4,A,10,10,20
62,1B:10B,1,B,10,B,10,10,20
63,15A:15A,15,A,15,A,10,10,20
64,7B:10B,7,B,10,B,10,10,20
65,7B:14B,7,B,14,B,10,10,20
66,6A:16A,6,A,16,A,10,10,20
67,14B:9B,14,B,9,B,10,10,20
68,14B:15A,14,B,15,A,10,9,20
69,11A:0B,11,A,0,B,9,10,20
70,8A:13A,8,A,13,A,10,10,20
71,17A:9B,17,A,9,B,10,11,20
72,3B:17A,3,B,17,A,11,10,20
73,17B:17B,17,B,17,B,10,10,20
74,17B:9A,17,B,9,A,10,9,20
75,7B:5A,7,B,5,A,9,8,20
76,14B:8A,14,B,8,A,8,7,20
77,2B:5B,2,B,5,B,7,7,20
78,0A:17B,0,A,17,B,7,8,20
79,11A:10B,11,A,10,B,8,9,20
80,13A:10A,13,A,10,A,9,9,20
81,7B:11A,7,B,11,A,9,8,20
82,8B:16A,8,B,16,A,8,7,20
83,5B:10A,5,B,10,A,7,6,20
84,10B:5B,10,B,5,B,6,6,20
85,3B:16B,3,B,16,B,6,6,20
86,6A:0A,6,A,0,A,6,6,20
87,18B:6A,18,B,6,A,6,5,20
88,8B:7B,8,B,7,B,5,5,20
89,8B:12B,8,B,12,B,5,5,20
90,3B:13A,3,B,13,A,5,4,20
91,17A:7B,17,A,7,B,4,5,20
92,14B:6B,14,B,6,B,5,5,20
93,7A:4A,7,A,4,A,5,5,20
94,18B:3B,18,B,3,B,5,5,20
95,1B:0A,1,B,0,A,5,4,20
96,12B:7A,12,B,7,A,4,3,20
97,7B:16B,7,B,16,B,3,3,20
98,9B:12B,9,B,12,B,3,3,20
99,7B:7B,7,B,7,B,3,3,20
100,8B:7B,8,B,7,B,3,3,20
101,15B:7B,15,B,7,B,3,3,20
102,9B:5B,9,B,5,B,3,3,20
103,14B:11B,14,B,11,B,3,3,20
104,13B:2B,13,B,2,B,3,3,20
105,19A:2B,19,A,2,B,3,4,20
106,15B:12B,15,B,12,B,4,4,20
107,0B:4A,0,B,4,A,4,3,20
108,13B:5B,13,B,5,B,3,3,20
109,10B:19A,10,B,19,A,3,2,20
110,17A:9B,17,A,9,B,2,3,20
111,19B:9A,19,B,9,A,3,2,20
112,2A:11B,2,A,11,B,2,3,20
113,8B:12B,8,B,12,B,3,3,20
114,4B:11A,4,B,11,A,3,2,20
115,15B:6B,15,B,6,B,2,2,20
116,4B:8B,4,B,8,B,2,2,20
117,1B:10B,1,B,10,B,2,2,20
118,9B:18B,9,B,18,B,2,2,20
119,10B:11B,10,B,11,B,2,2,20
120,2A:16B,2,A,16,B,2,3,20
121,0B:2A,0,B,2,A,3,2,20
122,4B:11B,4,B,11,B,2,2,20
123,0B:2B,0,B,2,B,2,2,20
124,14B:7B,14,B,7,B,2,2,20
125,5B:7B,5,B,7,B,2,2,20
126,1B:17A,1,B,17,A,2,1,20
127,4B:8B,4,B,8,B,1,1,20
128,9B:15B,9,B,15,B,1,1,20
129,3B:10B,3,B,10,B,1,1,20
130,9B:13B,9,B,13,B,1,1,20
131,15B:5B,15,B,5,B,1,1,20
132,7B:17B,7,B,17,B,1,1,20
133,0B:0B,0,B,0,B,1,1,20
134,19B:19B,19,B,19,B,1,1,20
135,6B:1B,6,B,1,B,1,1,20
136,10B:8B,10,B,8,B,1,1,20
137,10B:2B,10,B,2,B,1,1,20
138,10B:3B,10,B,3,B,1,1,20
139,0B:7B,0,B,7,B,1,1,20
140,18B:19B,18,B,19,B,1,1,20
141,2B:15B,2,B,15,B,1,1,20
142,9B:10B,9,B,10,B,1,1,20
143,8B:9B,8,B,9,B,1,1,20
144,19B:12B,19,B,12,B,1,1,20
145,12B:16A,12,B,16,A,1,0,20
