step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,15B:5A,15,B,5,A,15,14,20
1,7A:1A,7,A,1,A,14,14,20
2,6A:8A,6,A,8,A,14,14,20
3,0A:8A,0,A,8,A,14,14,20
4,11A:9A,11,A,9,A,14,14,20
5,11A:16B,11,A,16,B,14,15,20
6,14A:7A,14,A,7,A,15,15,20
7,10A:1A,10,A,1,A,15,15,20
8,11A:16A,11,A,16,A,15,15,20
9,16A:11A,16,A,11,A,15,15,20
10,13A:13A,13,A,13,A,15,15,20
11,8A:1A,8,A,1,A,15,15,20
12,4A:15B,4,A,15,B,15,16,20
13,17B:1A,17,B,1,A,16,15,20
14,9A:1B,9,A,1,B,15,16,20
15,1A:17B,1,A,17,B,16,17,20
16,10A:5B,10,A,5,B,17,18,20
17,19B:9A,19,B,9,A,18,17,20
18,1A:17A,1,A,17,A,17,17,20
19,9B:6A,9,B,6,A,17,16,20
20,14A:16A,14,A,16,A,16,16,20
21,10A:8A,10,A,8,A,16,16,20
22,6B:11A,6,B,11,A,16,15,20
23,7A:15A,7,A,15,A,15,15,20
24,12A:0A,12,A,0,A,15,15,20
25,16A:9B,16,A,9,B,15,16,20
26,19B:12A,19,B,12,A,16,15,20
27,12B:9A,12,B,9,A,15,14,20
28,2A:8A,2,A,8,A,14,14,20
29,14A:16A,14,A,16,A,14,14,20
30,4A:12B,4,A,12,B,14,15,20
31,10A:4A,10,A,4,A,15,15,20
32,3A:2A,3,A,2,A,15,15,20
33,18B:2A,18,B,2,A,15,14,20
34,6B:4A,6,B,4,A,14,13,20
35,6B:9B,6,B,9,B,13,13,20
36,8A:6B,8,A,6,B,13,14,20
37,12A:6A,12,A,6,A,14,14,20
38,7A:3A,7,A,3,A,14,14,20
39,19B:12A,19,B,12,A,14,13,20
40,0A:15A,0,A,15,A,13,13,20
41,9B:17A,9,B,17,A,13,12,20
42,18B:12B,18,B,12,B,12,12,20
43,18B:4B,18,B,4,B,12,12,20
44,15A:9B,15,A,9,B,12,13,20
45,9A:1A,9,A,1,A,13,13,20
46,18B:7A,18,B,7,A,13,12,20
47,4B:17B,4,B,17,B,12,12,20
48,11B:1A,11,B,1,A,12,11,20
49,1B:13A,1,B,13,A,11,10,20
50,18B:8A,18,B,8,A,10,9,20
51,10A:6A,10,A,6,A,9,9,20
52,15A:12B,15,A,12,B,9,10,20
53,17B:13B,17,B,13,B,10,10,20
54,4B:7B,4,B,7,B,10,10,20
55,12A:18B,12,A,18,B,10,11,20
56,8B:10A,8,B,10,A,11,10,20
57,3A:14A,3,A,14,A,10,10,20
58,17B:1B,17,B,1,B,10,10,20
59,9A:11B,9,A,11,B,10,11,20
60,13B:9A,13,B,9,A,11,10,20
61,12A:9B,12,A,9,B,10,11,20
62,17B:10B,17,B,10,B,11,11,20
63,4B:14A,4,B,14,A,11,10,20
