step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,10B:11B,10,B,11,B,6,6,15
1,14B:3A,14,B,3,A,6,5,15
2,5A:7B,5,A,7,B,5,6,15
3,12B:12B,12,B,12,B,6,6,15
4,5A:5A,5,A,5,A,6,6,15
5,14B:3B,14,B,3,B,6,6,15
6,13B:10B,13,B,10,B,6,6,15
7,14B:9B,14,B,9,B,6,6,15
8,2A:9B,2,A,9,B,6,7,15
9,4A:10B,4,A,10,B,7,8,15
10,4A:4A,4,A,4,A,8,8,15
11,5A:13B,5,A,13,B,8,9,15
12,5A:1A,5,A,1,A,9,9,15
13,12B:8B,12,B,8,B,9,9,15
14,1A:6B,1,A,6,B,9,10,15
15,7A:6A,7,A,6,A,10,10,15
16,14B:5A,14,B,5,A,10,9,15
17,14B:7A,14,B,7,A,9,8,15
18,13A:6A,13,A,6,A,8,8,15
19,12B:12B,12,B,12,B,8,8,15
20,9A:3B,9,A,3,B,8,9,15
21,7B:12B,7,B,12,B,9,9,15
22,3A:3A,3,A,3,A,9,9,15
23,13A:6A,13,A,6,A,9,9,15
24,8B:13A,8,B,13,A,9,8,15
25,4A:9A,4,A,9,A,8,8,15
26,1A:6A,1,A,6,A,8,8,15
27,10A:12B,10,A,12,B,8,9,15
28,2A:8B,2,A,8,B,9,10,15
29,10A:1A,10,A,1,A,10,10,15
30,12A:4A,12,A,4,A,10,10,15
31,9A:9A,9,A,9,A,10,10,15
32,7B:1A,7,B,1,A,10,9,15
33,9A:7B,9,A,7,B,9,10,15
34,0A:10A,0,A,10,A,10,10,15
35,10A:4A,10,A,4,A,10,10,15
36,10A:13B,10,A,13,B,10,11,15
37,3A:7A,3,A,7,A,11,11,15
38,13A:4A,13,A,4,A,11,11,15
39,4A:10A,4,A,10,A,11,11,15
40,13A:7A,13,A,7,A,11,11,15
41,12A:10A,12,A,10,A,11,11,15
42,5B:5B,5,B,5,B,11,11,15
43,8A:6A,8,A,6,A,11,11,15
44,7A:7A,7,A,7,A,11,11,15
45,9A:12A,9,A,12,A,11,11,15
46,14B:0A,14,B,0,A,11,10,15
47,2A:0B,2,A,0,B,10,11,15
48,2A:9A,2,A,9,A,11,11,15
49,10A:12A,10,A,12,A,11,11,15
50,6A:11B,6,A,11,B,11,12,15
51,2A:0A,2,A,0,A,12,12,15
52,8A:11A,8,A,11,A,12,12,15
53,3A:12A,3,A,12,A,12,12,15
54,14B:5B,14,B,5,B,12,12,15
55,0A:11A,0,A,11,A,12,12,15
56,3A:5B,3,A,5,B,12,13,15
57,10A:0A,10,A,0,A,13,13,15
58,0A:9A,0,A,9,A,13,13,15
59,12A:3A,12,A,3,A,13,13,15
60,2A:10A,2,A,10,A,13,13,15
61,10A:2A,10,A,2,A,13,13,15
62,6A:13A,6,A,13,A,13,13,15
63,5A:11A,5,A,11,A,13,13,15
64,13A:7A,13,A,7,A,13,13,15
65,9A:9A,9,A,9,A,13,13,15
66,7A:10A,7,A,10,A,13,13,15
67,6A:14B,6,A,14,B,13,14,15
68,11A:7A,11,A,7,A,14,14,15
69,8A:1B,8,A,1,B,14,15,15
