step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,10A:2A,10,A,2,A,17,17,20
1,6A:6A,6,A,6,A,17,17,20
2,13A:10A,13,A,10,A,17,17,20
3,7A:6A,7,A,6,A,17,17,20
4,19B:19B,19,B,19,B,17,17,20
5,10A:17B,10,A,17,B,17,18,20
6,16A:0A,16,A,0,A,18,18,20
7,2A:11A,2,A,11,A,18,18,20
8,8A:19B,8,A,19,B,18,19,20
9,18B:7A,18,B,7,A,19,18,20
10,19A:10A,19,A,10,A,18,18,20
11,7B:3A,7,B,3,A,18,17,20
12,7B:17A,7,B,17,A,17,16,20
13,14A:0A,14,A,0,A,16,16,20
14,18B:11A,18,B,11,A,16,15,20
15,10A:16A,10,A,16,A,15,15,20
16,8A:1A,8,A,1,A,15,15,20
17,5A:6A,5,A,6,A,15,15,20
18,6A:2A,6,A,2,A,15,15,20
19,18B:5A,18,B,5,A,15,14,20
20,19A:17B,19,A,17,B,14,15,20
21,10A:2A,10,A,2,A,15,15,20
22,4A:6A,4,A,6,A,15,15,20
23,17A:13A,17,A,13,A,15,15,20
24,16A:6A,16,A,6,A,15,15,20
25,10A:13A,10,A,13,A,15,15,20
26,12A:2A,12,A,2,A,15,15,20
27,14A:4A,14,A,4,A,15,15,20
28,0A:10A,0,A,10,A,15,15,20
29,0A:2A,0,A,2,A,15,15,20
30,1A:8A,1,A,8,A,15,15,20
31,11B:18B,11,B,18,B,15,15,20
32,16A:8A,16,A,8,A,15,15,20
33,8A:14A,8,A,14,A,15,15,20
34,12A:13A,12,A,13,A,15,15,20
35,6A:12A,6,A,12,A,15,15,20
36,13A:17A,13,A,17,A,15,15,20
37,0A:19A,0,A,19,A,15,15,20
38,1A:18B,1,A,18,B,15,16,20
39,0A:2A,0,A,2,A,16,16,20
40,7B:16A,7,B,16,A,16,15,20
41,2A:9A,2,A,9,A,15,15,20
42,12A:9A,12,A,9,A,15,15,20
43,15A:14A,15,A,14,A,15,15,20
44,7B:0A,7,B,0,A,15,14,20
45,9A:17A,9,A,17,A,14,14,20
46,4A:12A,4,A,12,A,14,14,20
47,15A:17A,15,A,17,A,14,14,20
48,5B:4A,5,B,4,A,14,13,20
49,5B:11B,5,B,11,B,13,13,20
50,19A:0B,19,A,0,B,13,14,20
51,11B:17A,11,B,17,A,14,13,20
52,2A:1A,2,A,1,A,13,13,20
53,0A:19A,0,A,19,A,13,13,20
54,7B:17B,7,B,17,B,13,13,20
55,18A:9A,18,A,9,A,13,13,20
56,4B:11B,4,B,11,B,13,13,20
57,4B:16B,4,B,16,B,13,13,20
58,2A:5B,2,A,5,B,13,14,20
59,4B:8A,4,B,8,A,14,13,20
60,3B:5A,3,B,5,A,13,12,20
61,13A:18A,13,A,18,A,12,12,20
62,17B:17B,17,B,17,B,12,12,20
63,9A:17B,9,A,17,B,12,13,20
64,1A:2A,1,A,2,A,13,13,20
65,5B:6A,5,B,6,A,13,12,20
66,14A:15A,14,A,15,A,12,12,20
67,19A:11B,19,A,11,B,12,13,20
68,2A:7B,2,A,7,B,13,14,20
69,2A:19A,2,A,19,A,14,14,20
70,1A:6B,1,A,6,B,14,15,20
71,6A:14A,6,A,14,A,15,15,20
72,6A:9A,6,A,9,A,15,15,20
73,13A:4B,13,A,4,B,15,16,20
74,11A:11A,11,A,11,A,16,16,20
75,16B:13A,16,B,13,A,16,15,20
76,3B:10A,3,B,10,A,15,14,20
77,4A:7A,4,A,7,A,14,14,20
78,14A:13B,14,A,13,B,14,15,20
79,5B:11A,5,B,11,A,15,14,20
80,2A:10B,2,A,10,B,14,15,20
81,17A:14A,17,A,14,A,15,15,20
82,8B:9A,8,B,9,A,15,14,20
83,9B:3B,9,B,3,B,14,14,20
84,3B:19A,3,B,19,A,14,13,20
85,1A:8B,1,A,8,B,13,14,20
86,17A:4A,17,A,4,A,14,14,20
87,17A:6A,17,A,6,A,14,14,20
88,5B:2A,5,B,2,A,14,13,20
89,14A:0A,14,A,0,A,13,13,20
90,16B:0A,16,B,0,A,13,12,20
91,16B:18A,16,B,18,A,12,11,20
92,8A:18B,8,A,18,B,11,12,20
93,4A:1A,4,A,1,A,12,12,20
94,11B:17A,11,B,17,A,12,11,20
95,17B:17B,17,B,17,B,11,11,20
96,9B:4A,9,B,4,A,11,10,20
97,7A:7A,7,A,7,A,10,10,20
98,17B:18A,17,B,18,A,10,9,20
99,14A:9B,14,A,9,B,9,10,20
100,2B:16B,2,B,16,B,10,10,20
101,10A:12A,10,A,12,A,10,10,20
102,7A:0B,7,A,0,B,10,11,20
103,13A:19B,13,A,19,B,11,12,20
104,13A:16B,13,A,16,B,12,13,20
105,2B:5B,2,B,5,B,13,13,20
106,3B:18B,3,B,18,B,13,13,20
