step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,12B:0A,12,B,0,A,3,2,20
1,14B:7B,14,B,7,B,2,2,20
2,4B:3B,4,B,3,B,2,2,20
3,13B:17B,13,B,17,B,2,2,20
4,1A:13B,1,A,13,B,2,3,20
5,0B:2A,0,B,2,A,3,2,20
6,4B:16B,4,B,16,B,2,2,20
7,12B:17B,12,B,17,B,2,2,20
8,3B:17B,3,B,17,B,2,2,20
9,8B:14B,8,B,14,B,2,2,20
10,11B:0B,11,B,0,B,2,2,20
11,15B:5B,15,B,5,B,2,2,20
12,13A:10B,13,A,10,B,2,3,20
13,5B:6B,5,B,6,B,3,3,20
14,19B:10A,19,B,10,A,3,2,20
15,1A:12B,1,A,12,B,2,3,20
16,1A:11B,1,A,11,B,3,4,20
17,12A:1A,12,A,1,A,4,4,20
18,14B:17B,14,B,17,B,4,4,20
19,2B:12A,2,B,12,A,4,3,20
20,1A:9B,1,A,9,B,3,4,20
21,16B:19B,16,B,19,B,4,4,20
22,17B:11A,17,B,11,A,4,3,20
23,11B:2B,11,B,2,B,3,3,20
24,0B:7B,0,B,7,B,3,3,20
25,15B:2B,15,B,2,B,3,3,20
26,17B:3B,17,B,3,B,3,3,20
27,7B:14B,7,B,14,B,3,3,20
28,12B:11B,12,B,11,B,3,3,20
29,3B:11B,3,B,11,B,3,3,20
30,4B:8B,4,B,8,B,3,3,20
31,13A:2B,13,A,2,B,3,4,20
32,12B:5B,12,B,5,B,4,4,20
33,10B:7B,10,B,7,B,4,4,20
34,2A:12B,2,A,12,B,4,5,20
35,5B:17B,5,B,17,B,5,5,20
36,4B:10B,4,B,10,B,5,5,20
37,16B:1A,16,B,1,A,5,4,20
38,4B:1B,4,B,1,B,4,4,20
39,15B:12A,15,B,12,A,4,3,20
40,5B:6B,5,B,6,B,3,3,20
41,18B:18B,18,B,18,B,3,3,20
42,17B:10B,17,B,10,B,3,3,20
43,4B:15B,4,B,15,B,3,3,20
44,7B:14B,7,B,14,B,3,3,20
45,2A:4B,2,A,4,B,3,4,20
46,4A:17B,4,A,17,B,4,5,20
47,10B:18B,10,B,18,B,5,5,20
48,8B:18B,8,B,18,B,5,5,20
49,7B:7B,7,B,7,B,5,5,20
50,19B:4A,19,B,4,A,5,4,20
51,10B:2A,10,B,2,A,4,3,20
52,15B:3B,15,B,3,B,3,3,20
53,3B:5B,3,B,5,B,3,3,20
54,15B:13A,15,B,13,A,3,2,20
55,11B:12B,11,B,12,B,2,2,20
56,7B:14B,7,B,14,B,2,2,20
57,10B:17A,10,B,17,A,2,1,20
58,17B:0B,17,B,0,B,1,1,20
59,13B:3B,13,B,3,B,1,1,20
60,13B:17B,13,B,17,B,1,1,20
61,14B:10B,14,B,10,B,1,1,20
62,2B:13B,2,B,13,B,1,1,20
63,3B:0B,3,B,0,B,1,1,20
64,19B:8B,19,B,8,B,1,1,20
65,19B:5B,19,B,5,B,1,1,20
66,10B:3B,10,B,3,B,1,1,20
67,17B:9A,17,B,9,A,1,0,20
