step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,14B:13B,14,B,13,B,8,8,15
1,0A:0A,0,A,0,A,8,8,15
2,6A:3A,6,A,3,A,8,8,15
3,2A:1A,2,A,1,A,8,8,15
4,13B:3A,13,B,3,A,8,7,15
5,10B:3B,10,B,3,B,7,7,15
6,9B:1A,9,B,1,A,7,6,15
7,8B:1B,8,B,1,B,6,6,15
8,14B:6A,14,B,6,A,6,5,15
9,12B:5A,12,B,5,A,5,4,15
10,14B:7A,14,B,7,A,4,3,15
11,11B:1B,11,B,1,B,3,3,15
12,13B:3B,13,B,3,B,3,3,15
13,7B:12B,7,B,12,B,3,3,15
14,12B:0A,12,B,0,A,3,2,15
15,5B:0B,5,B,0,B,2,2,15
16,10B:11B,10,B,11,B,2,2,15
17,11B:4A,11,B,4,A,2,1,15
18,11B:1B,11,B,1,B,1,1,15
19,1B:7B,1,B,7,B,1,1,15
20,4B:8B,4,B,8,B,1,1,15
21,1B:7B,1,B,7,B,1,1,15
22,7B:10B,7,B,10,B,1,1,15
23,12B:1B,12,B,1,B,1,1,15
24,0B:13B,0,B,13,B,1,1,15
25,3B:3B,3,B,3,B,1,1,15
26,9B:0B,9,B,0,B,1,1,15
27,2A:2A,2,A,2,A,1,1,15
28,5B:8B,5,B,8,B,1,1,15
29,14B:8B,14,B,8,B,1,1,15
30,5B:9B,5,B,9,B,1,1,15
31,11B:13B,11,B,13,B,1,1,15
32,10B:8B,10,B,8,B,1,1,15
33,6B:14B,6,B,14,B,1,1,15
34,12B:7B,12,B,7,B,1,1,15
35,9B:13B,9,B,13,B,1,1,15
36,0B:12B,0,B,12,B,1,1,15
37,11B:5B,11,B,5,B,1,1,15
38,9B:14B,9,B,14,B,1,1,15
39,1B:1B,1,B,1,B,1,1,15
40,13B:3B,13,B,3,B,1,1,15
41,6B:7B,6,B,7,B,1,1,15
42,6B:14B,6,B,14,B,1,1,15
43,6B:1B,6,B,1,B,1,1,15
44,3B:4B,3,B,4,B,1,1,15
45,1B:11B,1,B,11,B,1,1,15
46,14B:3B,14,B,3,B,1,1,15
47,11B:4B,11,B,4,B,1,1,15
48,12B:6B,12,B,6,B,1,1,15
49,11B:7B,11,B,7,B,1,1,15
50,8B:9B,8,B,9,B,1,1,15
51,2A:11B,2,A,11,B,1,2,15
52,4B:6B,4,B,6,B,2,2,15
53,9B:10B,9,B,10,B,2,2,15
54,13B:7B,13,B,7,B,2,2,15
55,7B:2A,7,B,2,A,2,1,15
56,5B:6B,5,B,6,B,1,1,15
57,1B:1B,1,B,1,B,1,1,15
58,3B:11A,3,B,11,A,1,0,15
