step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,1A:7B,1,A,7,B,5,6,20
1,11B:2A,11,B,2,A,6,5,20
2,3A:12B,3,A,12,B,5,6,20
3,1A:2B,1,A,2,B,6,7,20
4,18B:15B,18,B,15,B,7,7,20
5,9B:0A,9,B,0,A,7,6,20
6,14B:16B,14,B,16,B,6,6,20
7,14B:2A,14,B,2,A,6,5,20
8,1A:19B,1,A,19,B,5,6,20
9,3A:12A,3,A,12,A,6,6,20
10,5B:7A,5,B,7,A,6,5,20
11,14B:14B,14,B,14,B,5,5,20
12,12A:4A,12,A,4,A,5,5,20
13,10B:5B,10,B,5,B,5,5,20
14,0B:11B,0,B,11,B,5,5,20
15,17B:10B,17,B,10,B,5,5,20
16,17B:14B,17,B,14,B,5,5,20
17,19A:17B,19,A,17,B,5,6,20
18,19A:17A,19,A,17,A,6,6,20
19,8B:17A,8,B,17,A,6,5,20
20,3A:19A,3,A,19,A,5,5,20
21,8B:18B,8,B,18,B,5,5,20
22,8B:17B,8,B,17,B,5,5,20
23,5B:11B,5,B,11,B,5,5,20
24,9B:7B,9,B,7,B,5,5,20
25,16B:14B,16,B,14,B,5,5,20
26,5B:13B,5,B,13,B,5,5,20
27,4A:9B,4,A,9,B,5,6,20
28,0B:16B,0,B,16,B,6,6,20
29,16B:4A,16,B,4,A,6,5,20
30,6B:15B,6,B,15,B,5,5,20
31,10B:15B,10,B,15,B,5,5,20
32,19A:15B,19,A,15,B,5,6,20
33,5B:13B,5,B,13,B,6,6,20
34,15A:19A,15,A,19,A,6,6,20
35,4B:0B,4,B,0,B,6,6,20
36,11B:6B,11,B,6,B,6,6,20
37,8B:17B,8,B,17,B,6,6,20
38,9A:7B,9,A,7,B,6,7,20
39,3A:12A,3,A,12,A,7,7,20
40,16B:7A,16,B,7,A,7,6,20
41,4B:13B,4,B,13,B,6,6,20
42,12A:16B,12,A,16,B,6,7,20
43,15A:19A,15,A,19,A,7,7,20
44,16A:8B,16,A,8,B,7,8,20
45,5B:17B,5,B,17,B,8,8,20
46,16A:13B,16,A,13,B,8,9,20
47,3A:2B,3,A,2,B,9,10,20
48,3A:9A,3,A,9,A,10,10,20
49,2A:14B,2,A,14,B,10,11,20
50,12A:8A,12,A,8,A,11,11,20
51,14A:15A,14,A,15,A,11,11,20
52,3A:0B,3,A,0,B,11,12,20
53,2A:17B,2,A,17,B,12,13,20
54,0A:3A,0,A,3,A,13,13,20
55,5B:4B,5,B,4,B,13,13,20
56,14A:0A,14,A,0,A,13,13,20
57,3A:4B,3,A,4,B,13,14,20
58,0A:6B,0,A,6,B,14,15,20
59,6A:9A,6,A,9,A,15,15,20
60,15A:15A,15,A,15,A,15,15,20
61,19A:14A,19,A,14,A,15,15,20
62,14A:1A,14,A,1,A,15,15,20
63,6A:4A,6,A,4,A,15,15,20
64,1A:12A,1,A,12,A,15,15,20
65,1A:15A,1,A,15,A,15,15,20
