step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,10A:15A,10,A,15,A,19,19,20
1,15A:15A,15,A,15,A,19,19,20
2,17A:4A,17,A,4,A,19,19,20
3,6A:13A,6,A,13,A,19,19,20
4,7A:15A,7,A,15,A,19,19,20
5,12A:15A,12,A,15,A,19,19,20
6,15A:7A,15,A,7,A,19,19,20
7,17A:18A,17,A,18,A,19,19,20
8,15A:14A,15,A,14,A,19,19,20
9,2A:0A,2,A,0,A,19,19,20
10,8A:10A,8,A,10,A,19,19,20
11,18A:5A,18,A,5,A,19,19,20
12,19B:8A,19,B,8,A,19,18,20
13,19B:5A,19,B,5,A,18,17,20
14,14A:18A,14,A,18,A,17,17,20
15,3A:0A,3,A,0,A,17,17,20
16,8B:6A,8,B,6,A,17,16,20
17,6B:17A,6,B,17,A,16,15,20
18,8B:10A,8,B,10,A,15,14,20
19,10B:14A,10,B,14,A,14,13,20
20,8B:2A,8,B,2,A,13,12,20
21,14B:11A,14,B,11,A,12,11,20
22,6B:10B,6,B,10,B,11,11,20
23,8B:0A,8,B,0,A,11,10,20
24,6B:15A,6,B,15,A,10,9,20
25,8B:3A,8,B,3,A,9,8,20
26,14B:9A,14,B,9,A,8,7,20
27,11B:6B,11,B,6,B,7,7,20
28,8B:9B,8,B,9,B,7,7,20
29,10B:8B,10,B,8,B,7,7,20
30,11B:13A,11,B,13,A,7,6,20
31,10B:2B,10,B,2,B,6,6,20
32,5B:18A,5,B,18,A,6,5,20
33,10B:9B,10,B,9,B,5,5,20
34,11B:16A,11,B,16,A,5,4,20
35,15B:18B,15,B,18,B,4,4,20
36,5B:2B,5,B,2,B,4,4,20
37,16B:6B,16,B,6,B,4,4,20
38,8B:17B,8,B,17,B,4,4,20
39,15B:12A,15,B,12,A,4,3,20
40,13B:3B,13,B,3,B,3,3,20
41,8B:2B,8,B,2,B,3,3,20
42,14B:16B,14,B,16,B,3,3,20
43,5B:5B,5,B,5,B,3,3,20
44,16B:2B,16,B,2,B,3,3,20
45,17B:11B,17,B,11,B,3,3,20
46,14B:10B,14,B,10,B,3,3,20
47,5B:1A,5,B,1,A,3,2,20
48,16B:4A,16,B,4,A,2,1,20
49,10B:3B,10,B,3,B,1,1,20
50,14B:13B,14,B,13,B,1,1,20
51,19B:19B,19,B,19,B,1,1,20
52,15B:3B,15,B,3,B,1,1,20
53,4B:8B,4,B,8,B,1,1,20
54,6B:3B,6,B,3,B,1,1,20
55,17B:2B,17,B,2,B,1,1,20
56,10B:12B,10,B,12,B,1,1,20
57,10B:17B,10,B,17,B,1,1,20
58,13B:0B,13,B,0,B,1,1,20
59,6B:18B,6,B,18,B,1,1,20
60,3B:1B,3,B,1,B,1,1,20
61,17B:16B,17,B,16,B,1,1,20
62,8B:6B,8,B,6,B,1,1,20
63,5B:18B,5,B,18,B,1,1,20
64,6B:6B,6,B,6,B,1,1,20
65,18B:19B,18,B,19,B,1,1,20
66,17B:11B,17,B,11,B,1,1,20
67,1B:4B,1,B,4,B,1,1,20
68,13B:19B,13,B,19,B,1,1,20
69,5B:8B,5,B,8,B,1,1,20
70,6B:0B,6,B,0,B,1,1,20
71,10B:4B,10,B,4,B,1,1,20
72,11B:13B,11,B,13,B,1,1,20
73,19B:7A,19,B,7,A,1,0,20
