step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,14B:14B,14,B,14,B,6,6,15
1,4A:5A,4,A,5,A,6,6,15
2,9B:1A,9,B,1,A,6,5,15
3,10B:4A,10,B,4,A,5,4,15
4,7B:10B,7,B,10,B,4,4,15
5,5A:6B,5,A,6,B,4,5,15
6,10B:8B,10,B,8,B,5,5,15
7,1B:6A,1,B,6,A,5,4,15
8,9B:6B,9,B,6,B,4,4,15
9,9B:14B,9,B,14,B,4,4,15
10,2A:9B,2,A,9,B,4,5,15
11,4B:8B,4,B,8,B,5,5,15
12,12B:4B,12,B,4,B,5,5,15
13,4B:6B,4,B,6,B,5,5,15
14,11B:9A,11,B,9,A,5,4,15
15,9B:7B,9,B,7,B,4,4,15
16,6B:10B,6,B,10,B,4,4,15
17,2A:7B,2,A,7,B,4,5,15
18,11B:12B,11,B,12,B,5,5,15
19,10B:10B,10,B,10,B,5,5,15
20,1B:8B,1,B,8,B,5,5,15
21,9B:9B,9,B,9,B,5,5,15
22,4B:13B,4,B,13,B,5,5,15
23,14B:3A,14,B,3,A,5,4,15
24,9B:3B,9,B,3,B,4,4,15
25,11B:2A,11,B,2,A,4,3,15
26,0A:3B,0,A,3,B,3,4,15
27,14B:9B,14,B,9,B,4,4,15
28,12B:1B,12,B,1,B,4,4,15
29,6B:14B,6,B,14,B,4,4,15
30,9B:3A,9,B,3,A,4,3,15
31,10B:6B,10,B,6,B,3,3,15
32,7A:3B,7,A,3,B,3,4,15
33,2B:11B,2,B,11,B,4,4,15
34,0A:12B,0,A,12,B,4,5,15
35,12A:14B,12,A,14,B,5,6,15
36,1B:6B,1,B,6,B,6,6,15
37,3A:12A,3,A,12,A,6,6,15
38,14A:8B,14,A,8,B,6,7,15
39,7A:8A,7,A,8,A,7,7,15
40,3A:13B,3,A,13,B,7,8,15
41,1B:2B,1,B,2,B,8,8,15
42,12A:10B,12,A,10,B,8,9,15
43,8A:8A,8,A,8,A,9,9,15
44,9B:12A,9,B,12,A,9,8,15
45,13A:9B,13,A,9,B,8,9,15
46,12B:14A,12,B,14,A,9,8,15
47,7A:13A,7,A,13,A,8,8,15
48,13A:7A,13,A,7,A,8,8,15
49,13A:11B,13,A,11,B,8,9,15
50,12B:7A,12,B,7,A,9,8,15
51,3A:3A,3,A,3,A,8,8,15
52,12B:4B,12,B,4,B,8,8,15
53,11A:8A,11,A,8,A,8,8,15
54,7B:3A,7,B,3,A,8,7,15
55,4B:1B,4,B,1,B,7,7,15
56,10A:3B,10,A,3,B,7,8,15
57,4B:5A,4,B,5,A,8,7,15
58,13A:1B,13,A,1,B,7,8,15
59,1A:3A,1,A,3,A,8,8,15
60,5B:2B,5,B,2,B,8,8,15
61,10A:1A,10,A,1,A,8,8,15
62,6B:5B,6,B,5,B,8,8,15
63,8A:6B,8,A,6,B,8,9,15
64,0A:13A,0,A,13,A,9,9,15
65,6A:14B,6,A,14,B,9,10,15
66,11A:11A,11,A,11,A,10,10,15
67,0A:14A,0,A,14,A,10,10,15
68,11A:6A,11,A,6,A,10,10,15
69,7B:5B,7,B,5,B,10,10,15
70,4B:6A,4,B,6,A,10,9,15
71,12B:13A,12,B,13,A,9,8,15
72,6B:11A,6,B,11,A,8,7,15
73,10A:12B,10,A,12,B,7,8,15
74,9A:3A,9,A,3,A,8,8,15
75,7B:4B,7,B,4,B,8,8,15
76,6B:0A,6,B,0,A,8,7,15
77,5B:10A,5,B,10,A,7,6,15
78,10B:6B,10,B,6,B,6,6,15
79,10B:13B,10,B,13,B,6,6,15
80,7B:2B,7,B,2,B,6,6,15
81,14A:8A,14,A,8,A,6,6,15
82,0B:6B,0,B,6,B,6,6,15
83,8A:10B,8,A,10,B,6,7,15
84,0B:10A,0,B,10,A,7,6,15
85,6B:13B,6,B,13,B,6,6,15
86,7B:0B,7,B,0,B,6,6,15
87,3A:5B,3,A,5,B,6,7,15
88,3A:5A,3,A,5,A,7,7,15
89,5A:14A,5,A,14,A,7,7,15
90,5A:12A,5,A,12,A,7,7,15
91,14A:6B,14,A,6,B,7,8,15
92,3A:1A,3,A,1,A,8,8,15
93,7B:11B,7,B,11,B,8,8,15
94,8A:5A,8,A,5,A,8,8,15
95,3A:1A,3,A,1,A,8,8,15
96,11B:10B,11,B,10,B,8,8,15
97,0B:0B,0,B,0,B,8,8,15
98,14A:3A,14,A,3,A,8,8,15
99,12A:9A,12,A,9,A,8,8,15
100,2B:2B,2,B,2,B,8,8,15
101,7B:1A,7,B,1,A,8,7,15
102,8A:3A,8,A,3,A,7,7,15
103,7B:4B,7,B,4,B,7,7,15
