step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,14B:2A,14,B,2,A,9,8,15
1,7A:5A,7,A,5,A,8,8,15
2,1A:5A,1,A,5,A,8,8,15
3,8A:4A,8,A,4,A,8,8,15
4,5A:11B,5,A,11,B,8,9,15
5,5A:11A,5,A,11,A,9,9,15
6,6A:7A,6,A,7,A,9,9,15
7,0A:13B,0,A,13,B,9,10,15
8,13A:9B,13,A,9,B,10,11,15
9,14B:4A,14,B,4,A,11,10,15
10,9A:12B,9,A,12,B,10,11,15
11,13A:1A,13,A,1,A,11,11,15
12,9A:6A,9,A,6,A,11,11,15
13,5A:12A,5,A,12,A,11,11,15
14,11A:2B,11,A,2,B,11,12,15
15,14B:2A,14,B,2,A,12,11,15
16,12A:10B,12,A,10,B,11,12,15
17,11A:0A,11,A,0,A,12,12,15
18,1A:3A,1,A,3,A,12,12,15
19,11A:5A,11,A,5,A,12,12,15
20,5A:9A,5,A,9,A,12,12,15
21,0A:2B,0,A,2,B,12,13,15
22,10A:5A,10,A,5,A,13,13,15
23,5A:12A,5,A,12,A,13,13,15
24,1A:2A,1,A,2,A,13,13,15
25,7A:6A,7,A,6,A,13,13,15
26,4B:4B,4,B,4,B,13,13,15
27,3A:1A,3,A,1,A,13,13,15
28,0A:2A,0,A,2,A,13,13,15
29,7A:6A,7,A,6,A,13,13,15
30,13A:1A,13,A,1,A,13,13,15
31,3A:4B,3,A,4,B,13,14,15
32,10A:3A,10,A,3,A,14,14,15
33,14B:4A,14,B,4,A,14,13,15
34,10A:7A,10,A,7,A,13,13,15
35,2A:2A,2,A,2,A,13,13,15
36,12A:7A,12,A,7,A,13,13,15
37,2A:11A,2,A,11,A,13,13,15
38,6A:1A,6,A,1,A,13,13,15
39,11A:13A,11,A,13,A,13,13,15
40,14B:10A,14,B,10,A,13,12,15
41,5A:1A,5,A,1,A,12,12,15
42,8A:4B,8,A,4,B,12,13,15
43,13A:13A,13,A,13,A,13,13,15
44,2A:11A,2,A,11,A,13,13,15
45,13A:10B,13,A,10,B,13,14,15
46,2A:5A,2,A,5,A,14,14,15
47,7A:1A,7,A,1,A,14,14,15
48,14B:12A,14,B,12,A,14,13,15
49,1A:12B,1,A,12,B,13,14,15
50,7A:5A,7,A,5,A,14,14,15
51,8A:5A,8,A,5,A,14,14,15
52,6A:8A,6,A,8,A,14,14,15
53,1A:14B,1,A,14,B,14,15,15
