step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,18A:8A,18,A,8,A,19,19,20
1,16A:16A,16,A,16,A,19,19,20
2,10A:7A,10,A,7,A,19,19,20
3,5A:2A,5,A,2,A,19,19,20
4,15A:7A,15,A,7,A,19,19,20
5,5A:10A,5,A,10,A,19,19,20
6,19B:2A,19,B,2,A,19,18,20
7,2B:7A,2,B,7,A,18,17,20
8,7B:4A,7,B,4,A,17,16,20
9,13A:2B,13,A,2,B,16,17,20
10,7B:10A,7,B,10,A,17,16,20
11,10B:13A,10,B,13,A,16,15,20
12,1A:13B,1,A,13,B,15,16,20
13,7B:18A,7,B,18,A,16,15,20
14,19B:0A,19,B,0,A,15,14,20
15,18B:18B,18,B,18,B,14,14,20
16,7B:0B,7,B,0,B,14,14,20
17,19B:9A,19,B,9,A,14,13,20
18,15A:13A,15,A,13,A,13,13,20
19,10B:17A,10,B,17,A,13,12,20
20,17B:7B,17,B,7,B,12,12,20
21,9B:8A,9,B,8,A,12,11,20
22,8B:0B,8,B,0,B,11,11,20
23,8B:12A,8,B,12,A,11,10,20
24,14A:14A,14,A,14,A,10,10,20
25,18B:19B,18,B,19,B,10,10,20
26,10B:12B,10,B,12,B,10,10,20
27,11A:0B,11,A,0,B,10,11,20
28,2A:13A,2,A,13,A,11,11,20
29,4B:14A,4,B,14,A,11,10,20
30,4B:8B,4,B,8,B,10,10,20
31,8B:6A,8,B,6,A,10,9,20
32,9B:10B,9,B,10,B,9,9,20
33,15A:12B,15,A,12,B,9,10,20
34,6B:13A,6,B,13,A,10,9,20
35,6B:2A,6,B,2,A,9,8,20
36,9B:17B,9,B,17,B,8,8,20
37,1A:11A,1,A,11,A,8,8,20
38,5A:2B,5,A,2,B,8,9,20
39,16A:1A,16,A,1,A,9,9,20
40,15A:7B,15,A,7,B,9,10,20
41,5A:0A,5,A,0,A,10,10,20
42,13B:7A,13,B,7,A,10,9,20
43,4B:3A,4,B,3,A,9,8,20
44,10B:6B,10,B,6,B,8,8,20
45,9B:8B,9,B,8,B,8,8,20
46,15A:5A,15,A,5,A,8,8,20
47,12A:3B,12,A,3,B,8,9,20
48,16A:5A,16,A,5,A,9,9,20
49,19B:3A,19,B,3,A,9,8,20
50,11A:9B,11,A,9,B,8,9,20
51,12A:12A,12,A,12,A,9,9,20
52,8B:6B,8,B,6,B,9,9,20
53,2A:7B,2,A,7,B,9,10,20
54,3B:9A,3,B,9,A,10,9,20
55,17B:19B,17,B,19,B,9,9,20
56,17B:18B,17,B,18,B,9,9,20
57,16A:11A,16,A,11,A,9,9,20
58,10B:11A,10,B,11,A,9,8,20
59,2A:10B,2,A,10,B,8,9,20
60,0A:13B,0,A,13,B,9,10,20
61,17B:3B,17,B,3,B,10,10,20
62,9B:11B,9,B,11,B,10,10,20
63,13A:14B,13,A,14,B,10,11,20
64,14A:13A,14,A,13,A,11,11,20
65,4B:16A,4,B,16,A,11,10,20
66,19B:8B,19,B,8,B,10,10,20
67,12A:17B,12,A,17,B,10,11,20
68,16B:14A,16,B,14,A,11,10,20
69,9B:18B,9,B,18,B,10,10,20
70,6B:7A,6,B,7,A,10,9,20
71,16B:2A,16,B,2,A,9,8,20
72,6B:14B,6,B,14,B,8,8,20
73,4B:14B,4,B,14,B,8,8,20
74,11B:12A,11,B,12,A,8,7,20
75,7B:15A,7,B,15,A,7,6,20
76,16B:5A,16,B,5,A,6,5,20
77,9B:11B,9,B,11,B,5,5,20
78,15B:10A,15,B,10,A,5,4,20
79,6B:19B,6,B,19,B,4,4,20
80,14B:8B,14,B,8,B,4,4,20
81,10B:16B,10,B,16,B,4,4,20
82,19B:2B,19,B,2,B,4,4,20
83,5B:13A,5,B,13,A,4,3,20
84,10B:7B,10,B,7,B,3,3,20
85,13B:15B,13,B,15,B,3,3,20
86,9B:0A,9,B,0,A,3,2,20
87,2B:7B,2,B,7,B,2,2,20
88,8B:7B,8,B,7,B,2,2,20
89,6B:18B,6,B,18,B,2,2,20
90,7B:17A,7,B,17,A,2,1,20
91,10B:13B,10,B,13,B,1,1,20
92,19B:17B,19,B,17,B,1,1,20
93,7B:14B,7,B,14,B,1,1,20
94,5B:8B,5,B,8,B,1,1,20
95,5B:6B,5,B,6,B,1,1,20
96,6B:17B,6,B,17,B,1,1,20
97,19B:5B,19,B,5,B,1,1,20
98,4B:15B,4,B,15,B,1,1,20
99,5B:18B,5,B,18,B,1,1,20
100,19B:16B,19,B,16,B,1,1,20
101,12B:3B,12,B,3,B,1,1,20
102,16B:9B,16,B,9,B,1,1,20
103,5B:5B,5,B,5,B,1,1,20
104,6B:17B,6,B,17,B,1,1,20
105,3B:1A,3,B,1,A,1,0,20
