step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,12A:7A,12,A,7,A,13,13,15
1,12A:11A,12,A,11,A,13,13,15
2,12A:7A,12,A,7,A,13,13,15
3,3A:3A,3,A,3,A,13,13,15
4,11A:4A,11,A,4,A,13,13,15
5,10A:8A,10,A,8,A,13,13,15
6,6A:3A,6,A,3,A,13,13,15
7,3A:1A,3,A,1,A,13,13,15
8,10A:3A,10,A,3,A,13,13,15
9,3A:5A,3,A,5,A,13,13,15
10,12A:1A,12,A,1,A,13,13,15
11,1A:3A,1,A,3,A,13,13,15
12,5A:2A,5,A,2,A,13,13,15
13,9A:1A,9,A,1,A,13,13,15
14,5A:5A,5,A,5,A,13,13,15
15,7A:6A,7,A,6,A,13,13,15
16,0A:13B,0,A,13,B,13,14,15
17,6A:14B,6,A,14,B,14,15,15
