step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,14B:12B,14,B,12,B,7,7,15
1,10B:1A,10,B,1,A,7,6,15
2,12B:0A,12,B,0,A,6,5,15
3,5A:1B,5,A,1,B,5,6,15
4,9B:10B,9,B,10,B,6,6,15
5,12B:4A,12,B,4,A,6,5,15
6,10B:13B,10,B,13,B,5,5,15
7,10B:5A,10,B,5,A,5,4,15
8,2A:3A,2,A,3,A,4,4,15
9,8B:9B,8,B,9,B,4,4,15
10,13B:8B,13,B,8,B,4,4,15
11,6A:9B,6,A,9,B,4,5,15
12,4B:1A,4,B,1,A,5,4,15
13,10B:7B,10,B,7,B,4,4,15
14,13B:4B,13,B,4,B,4,4,15
15,10B:1B,10,B,1,B,4,4,15
16,1B:0B,1,B,0,B,4,4,15
17,5B:7B,5,B,7,B,4,4,15
18,1B:3A,1,B,3,A,4,3,15
19,13B:2A,13,B,2,A,3,2,15
20,5B:5B,5,B,5,B,2,2,15
21,10B:11B,10,B,11,B,2,2,15
22,10B:8B,10,B,8,B,2,2,15
23,5B:11B,5,B,11,B,2,2,15
24,11B:14B,11,B,14,B,2,2,15
25,5B:1B,5,B,1,B,2,2,15
26,12B:9A,12,B,9,A,2,1,15
27,5B:4B,5,B,4,B,1,1,15
28,0B:5B,0,B,5,B,1,1,15
29,3B:7B,3,B,7,B,1,1,15
30,14B:13B,14,B,13,B,1,1,15
31,5B:10B,5,B,10,B,1,1,15
32,5B:14B,5,B,14,B,1,1,15
33,14B:5B,14,B,5,B,1,1,15
34,0B:4B,0,B,4,B,1,1,15
35,2B:1B,2,B,1,B,1,1,15
36,14B:13B,14,B,13,B,1,1,15
37,7B:10B,7,B,10,B,1,1,15
38,3B:10B,3,B,10,B,1,1,15
39,9B:0B,9,B,0,B,1,1,15
40,0B:5B,0,B,5,B,1,1,15
41,3B:2B,3,B,2,B,1,1,15
42,11B:3B,11,B,3,B,1,1,15
43,0B:12B,0,B,12,B,1,1,15
44,8B:9B,8,B,9,B,1,1,15
45,3B:13B,3,B,13,B,1,1,15
46,3B:12B,3,B,12,B,1,1,15
47,2B:14B,2,B,14,B,1,1,15
48,9B:4B,9,B,4,B,1,1,15
49,12B:2B,12,B,2,B,1,1,15
50,14B:8B,14,B,8,B,1,1,15
51,3B:2B,3,B,2,B,1,1,15
52,1B:13B,1,B,13,B,1,1,15
53,0B:0B,0,B,0,B,1,1,15
54,5B:12B,5,B,12,B,1,1,15
55,3B:5B,3,B,5,B,1,1,15
56,0B:4B,0,B,4,B,1,1,15
57,0B:11B,0,B,11,B,1,1,15
58,5B:1B,5,B,1,B,1,1,15
59,11B:7B,11,B,7,B,1,1,15
60,7B:5B,7,B,5,B,1,1,15
61,8B:1B,8,B,1,B,1,1,15
62,7B:3B,7,B,3,B,1,1,15
63,14B:0B,14,B,0,B,1,1,15
64,11B:14B,11,B,14,B,1,1,15
65,13B:8B,13,B,8,B,1,1,15
66,4B:10B,4,B,10,B,1,1,15
67,14B:0B,14,B,0,B,1,1,15
68,14B:13B,14,B,13,B,1,1,15
69,5B:10B,5,B,10,B,1,1,15
70,1B:11B,1,B,11,B,1,1,15
71,13B:1B,13,B,1,B,1,1,15
72,13B:5B,13,B,5,B,1,1,15
73,9B:1B,9,B,1,B,1,1,15
74,1B:9B,1,B,9,B,1,1,15
75,9B:8B,9,B,8,B,1,1,15
76,10B:6A,10,B,6,A,1,0,15
