step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,12B:6A,12,B,6,A,11,10,20
1,8A:9A,8,A,9,A,10,10,20
2,10A:8A,10,A,8,A,10,10,20
3,12B:13B,12,B,13,B,10,10,20
4,10A:2A,10,A,2,A,10,10,20
5,5A:18B,5,A,18,B,10,11,20
6,10A:9A,10,A,9,A,11,11,20
7,11B:16B,11,B,16,B,11,11,20
8,13B:18A,13,B,18,A,11,10,20
9,3A:2A,3,A,2,A,10,10,20
10,15B:6B,15,B,6,B,10,10,20
11,6B:17B,6,B,17,B,10,10,20
12,14B:12B,14,B,12,B,10,10,20
13,11B:3A,11,B,3,A,10,9,20
14,6B:2A,6,B,2,A,9,8,20
15,12B:16B,12,B,16,B,8,8,20
16,3B:5A,3,B,5,A,8,7,20
17,16B:2B,16,B,2,B,7,7,20
18,17B:11B,17,B,11,B,7,7,20
19,12B:10A,12,B,10,A,7,6,20
20,4A:1A,4,A,1,A,6,6,20
21,15B:4A,15,B,4,A,6,5,20
22,9A:3B,9,A,3,B,5,6,20
23,14B:13B,14,B,13,B,6,6,20
24,18B:19B,18,B,19,B,6,6,20
25,14B:3A,14,B,3,A,6,5,20
26,4B:8A,4,B,8,A,5,4,20
27,6B:3B,6,B,3,B,4,4,20
28,17B:2B,17,B,2,B,4,4,20
29,9A:12B,9,A,12,B,4,5,20
30,10B:17B,10,B,17,B,5,5,20
31,12A:0A,12,A,0,A,5,5,20
32,6B:18B,6,B,18,B,5,5,20
33,3B:1A,3,B,1,A,5,4,20
34,17B:16B,17,B,16,B,4,4,20
35,7A:6B,7,A,6,B,4,5,20
36,6A:18B,6,A,18,B,5,6,20
37,7A:6A,7,A,6,A,6,6,20
38,18A:19B,18,A,19,B,6,7,20
39,17B:11B,17,B,11,B,7,7,20
40,1B:4B,1,B,4,B,7,7,20
41,13B:19A,13,B,19,A,7,6,20
42,5B:8B,5,B,8,B,6,6,20
43,6A:0A,6,A,0,A,6,6,20
44,9A:4B,9,A,4,B,6,7,20
45,10B:13B,10,B,13,B,7,7,20
46,18A:7A,18,A,7,A,7,7,20
47,4A:8B,4,A,8,B,7,8,20
48,8A:10B,8,A,10,B,8,9,20
49,6A:3B,6,A,3,B,9,10,20
50,0A:0A,0,A,0,A,10,10,20
51,15B:0A,15,B,0,A,10,9,20
52,16B:8A,16,B,8,A,9,8,20
53,0B:19B,0,B,19,B,8,8,20
54,19B:1B,19,B,1,B,8,8,20
55,0B:13B,0,B,13,B,8,8,20
56,4A:2B,4,A,2,B,8,9,20
57,14B:15B,14,B,15,B,9,9,20
58,15B:18A,15,B,18,A,9,8,20
59,6A:14B,6,A,14,B,8,9,20
60,14A:10A,14,A,10,A,9,9,20
61,9A:17B,9,A,17,B,9,10,20
62,13B:10A,13,B,10,A,10,9,20
63,4A:1B,4,A,1,B,9,10,20
64,16B:2A,16,B,2,A,10,9,20
65,8B:0B,8,B,0,B,9,9,20
66,12A:11B,12,A,11,B,9,10,20
67,19B:1A,19,B,1,A,10,9,20
68,16B:14A,16,B,14,A,9,8,20
69,19B:2B,19,B,2,B,8,8,20
70,15B:13B,15,B,13,B,8,8,20
71,5B:5B,5,B,5,B,8,8,20
72,10B:13B,10,B,13,B,8,8,20
73,5B:7A,5,B,7,A,8,7,20
74,7B:18B,7,B,18,B,7,7,20
75,2B:16B,2,B,16,B,7,7,20
76,8B:0B,8,B,0,B,7,7,20
77,12A:13B,12,A,13,B,7,8,20
78,8B:4A,8,B,4,A,8,7,20
79,3A:9A,3,A,9,A,7,7,20
80,9A:14B,9,A,14,B,7,8,20
81,10B:10B,10,B,10,B,8,8,20
82,7B:12A,7,B,12,A,8,7,20
83,5B:2B,5,B,2,B,7,7,20
84,10B:5B,10,B,5,B,7,7,20
85,11A:12B,11,A,12,B,7,8,20
86,3A:8B,3,A,8,B,8,9,20
87,15B:16B,15,B,16,B,9,9,20
88,4B:1B,4,B,1,B,9,9,20
89,8A:1B,8,A,1,B,9,10,20
90,3A:14A,3,A,14,A,10,10,20
91,4B:16B,4,B,16,B,10,10,20
92,9A:17A,9,A,17,A,10,10,20
93,7B:15B,7,B,15,B,10,10,20
94,5B:7B,5,B,7,B,10,10,20
95,7B:18B,7,B,18,B,10,10,20
96,11A:12A,11,A,12,A,10,10,20
97,1A:2B,1,A,2,B,10,11,20
98,2A:12A,2,A,12,A,11,11,20
99,17A:2A,17,A,2,A,11,11,20
100,17A:10B,17,A,10,B,11,12,20
101,19B:13A,19,B,13,A,12,11,20
102,8A:14A,8,A,14,A,11,11,20
103,7B:8A,7,B,8,A,11,10,20
104,17A:16B,17,A,16,B,10,11,20
105,8B:14A,8,B,14,A,11,10,20
106,8B:18B,8,B,18,B,10,10,20
107,17A:7B,17,A,7,B,10,11,20
108,18B:11A,18,B,11,A,11,10,20
109,10A:3A,10,A,3,A,10,10,20
110,17A:6A,17,A,6,A,10,10,20
111,14B:9A,14,B,9,A,10,9,20
112,16A:15B,16,A,15,B,9,10,20
113,18B:2A,18,B,2,A,10,9,20
114,8B:3A,8,B,3,A,9,8,20
115,6A:1A,6,A,1,A,8,8,20
116,10A:14B,10,A,14,B,8,9,20
117,0B:6A,0,B,6,A,9,8,20
118,19B:0B,19,B,0,B,8,8,20
119,8B:0B,8,B,0,B,8,8,20
120,14A:14A,14,A,14,A,8,8,20
121,1A:17A,1,A,17,A,8,8,20
122,1A:3B,1,A,3,B,8,9,20
123,12A:19B,12,A,19,B,9,10,20
124,12A:10A,12,A,10,A,10,10,20
125,19A:16A,19,A,16,A,10,10,20
126,13B:17A,13,B,17,A,10,9,20
127,7A:0B,7,A,0,B,9,10,20
128,6B:19A,6,B,19,A,10,9,20
129,13B:16A,13,B,16,A,9,8,20
130,14A:6B,14,A,6,B,8,9,20
131,9B:18B,9,B,18,B,9,9,20
132,3A:7A,3,A,7,A,9,9,20
133,7A:10A,7,A,10,A,9,9,20
134,16B:7A,16,B,7,A,9,8,20
135,14A:7B,14,A,7,B,8,9,20
136,3A:11B,3,A,11,B,9,10,20
137,4B:7A,4,B,7,A,10,9,20
138,11A:9B,11,A,9,B,9,10,20
139,11A:14A,11,A,14,A,10,10,20
140,2B:14A,2,B,14,A,10,9,20
141,1A:18B,1,A,18,B,9,10,20
142,13B:0A,13,B,0,A,10,9,20
143,15A:14B,15,A,14,B,9,10,20
144,6A:1A,6,A,1,A,10,10,20
145,11A:17B,11,A,17,B,10,11,20
146,16B:10A,16,B,10,A,11,10,20
147,17A:1A,17,A,1,A,10,10,20
148,1A:11A,1,A,11,A,10,10,20
149,3A:1A,3,A,1,A,10,10,20
150,2B:7B,2,B,7,B,10,10,20
151,19B:12A,19,B,12,A,10,9,20
152,9A:10B,9,A,10,B,9,10,20
153,5B:16B,5,B,16,B,10,10,20
154,6A:8B,6,A,8,B,10,11,20
155,6A:6A,6,A,6,A,11,11,20
156,12B:4B,12,B,4,B,11,11,20
157,5B:13B,5,B,13,B,11,11,20
158,0B:4B,0,B,4,B,11,11,20
159,9A:4B,9,A,4,B,11,12,20
160,16B:18A,16,B,18,A,12,11,20
161,13B:4A,13,B,4,A,11,10,20
162,9A:9A,9,A,9,A,10,10,20
163,5B:6A,5,B,6,A,10,9,20
164,3A:5B,3,A,5,B,9,10,20
165,15A:8A,15,A,8,A,10,10,20
166,14A:14A,14,A,14,A,10,10,20
167,10A:13B,10,A,13,B,10,11,20
168,10A:15A,10,A,15,A,11,11,20
169,14A:2B,14,A,2,B,11,12,20
170,6B:11A,6,B,11,A,12,11,20
171,16B:14A,16,B,14,A,11,10,20
172,0B:8A,0,B,8,A,10,9,20
173,8B:7B,8,B,7,B,9,9,20
174,16B:2A,16,B,2,A,9,8,20
175,3A:19B,3,A,19,B,8,9,20
176,18B:3A,18,B,3,A,9,8,20
177,5A:10A,5,A,10,A,8,8,20
178,12B:15A,12,B,15,A,8,7,20
179,5A:0B,5,A,0,B,7,8,20
180,14B:16B,14,B,16,B,8,8,20
181,15B:5A,15,B,5,A,8,7,20
182,3B:16B,3,B,16,B,7,7,20
183,6B:15B,6,B,15,B,7,7,20
184,17A:0A,17,A,0,A,7,7,20
185,14B:7B,14,B,7,B,7,7,20
186,15B:19A,15,B,19,A,7,6,20
187,8B:11B,8,B,11,B,6,6,20
188,12B:19B,12,B,19,B,6,6,20
189,3B:7B,3,B,7,B,6,6,20
190,4B:12B,4,B,12,B,6,6,20
191,13A:5B,13,A,5,B,6,7,20
192,5A:0A,5,A,0,A,7,7,20
193,12B:2B,12,B,2,B,7,7,20
194,19B:9A,19,B,9,A,7,6,20
195,8B:11B,8,B,11,B,6,6,20
196,5A:4B,5,A,4,B,6,7,20
197,17A:18B,17,A,18,B,7,8,20
198,10A:6B,10,A,6,B,8,9,20
199,7B:6A,7,B,6,A,9,8,20
200,19B:14B,19,B,14,B,8,8,20
201,11B:4A,11,B,4,A,8,7,20
202,3B:2B,3,B,2,B,7,7,20
203,4B:19B,4,B,19,B,7,7,20
204,2B:7B,2,B,7,B,7,7,20
205,8B:16B,8,B,16,B,7,7,20
206,19B:8B,19,B,8,B,7,7,20
207,15B:7B,15,B,7,B,7,7,20
208,7B:17A,7,B,17,A,7,6,20
209,5A:11B,5,A,11,B,6,7,20
210,16B:11A,16,B,11,A,7,6,20
211,13A:0A,13,A,0,A,6,6,20
212,9B:5A,9,B,5,A,6,5,20
213,3B:17B,3,B,17,B,5,5,20
214,16B:9B,16,B,9,B,5,5,20
215,8B:14B,8,B,14,B,5,5,20
216,11B:9B,11,B,9,B,5,5,20
217,14B:13A,14,B,13,A,5,4,20
218,1A:2B,1,A,2,B,4,5,20
219,14B:18A,14,B,18,A,5,4,20
220,0A:10A,0,A,10,A,4,4,20
221,16B:10A,16,B,10,A,4,3,20
222,7B:2A,7,B,2,A,3,2,20
223,15B:7B,15,B,7,B,2,2,20
224,13B:10B,13,B,10,B,2,2,20
225,13B:13B,13,B,13,B,2,2,20
226,8B:14B,8,B,14,B,2,2,20
227,13B:3B,13,B,3,B,2,2,20
228,12B:7B,12,B,7,B,2,2,20
229,12B:7B,12,B,7,B,2,2,20
230,11B:12B,11,B,12,B,2,2,20
231,12B:2B,12,B,2,B,2,2,20
232,4B:0A,4,B,0,A,2,1,20
233,19B:15B,19,B,15,B,1,1,20
234,14B:17B,14,B,17,B,1,1,20
235,0B:6B,0,B,6,B,1,1,20
236,0B:6B,0,B,6,B,1,1,20
237,16B:4B,16,B,4,B,1,1,20
238,6B:10B,6,B,10,B,1,1,20
239,11B:4B,11,B,4,B,1,1,20
240,15B:16B,15,B,16,B,1,1,20
241,8B:8B,8,B,8,B,1,1,20
242,5B:11B,5,B,11,B,1,1,20
243,12B:19B,12,B,19,B,1,1,20
244,19B:6B,19,B,6,B,1,1,20
245,8B:14B,8,B,14,B,1,1,20
246,10B:7B,10,B,7,B,1,1,20
247,5B:6B,5,B,6,B,1,1,20
248,1A:9B,1,A,9,B,1,2,20
249,12B:2B,12,B,2,B,2,2,20
250,8B:19B,8,B,19,B,2,2,20
251,17B:5B,17,B,5,B,2,2,20
252,10B:12B,10,B,12,B,2,2,20
253,18B:2B,18,B,2,B,2,2,20
254,7B:4B,7,B,4,B,2,2,20
255,8B:13B,8,B,13,B,2,2,20
256,7B:5B,7,B,5,B,2,2,20
257,3B:12B,3,B,12,B,2,2,20
258,10B:1A,10,B,1,A,2,1,20
259,18B:8B,18,B,8,B,1,1,20
260,14B:3B,14,B,3,B,1,1,20
261,18B:19B,18,B,19,B,1,1,20
262,0B:5B,0,B,5,B,1,1,20
263,7B:19B,7,B,19,B,1,1,20
264,4B:1B,4,B,1,B,1,1,20
265,15B:6B,15,B,6,B,1,1,20
266,14B:8B,14,B,8,B,1,1,20
267,16B:16B,16,B,16,B,1,1,20
268,14B:12B,14,B,12,B,1,1,20
269,19B:14B,19,B,14,B,1,1,20
270,16B:17B,16,B,17,B,1,1,20
271,10B:19B,10,B,19,B,1,1,20
272,2B:16B,2,B,16,B,1,1,20
273,6B:19B,6,B,19,B,1,1,20
274,0B:9A,0,B,9,A,1,0,20
