run_id,step,birth_index,birth_type,death_index,death_type,event,mutants_before,mutants_after,N,true_r,true_i0
exp002_run02,168,2,B,8,A,2B:8A,10,9,22,1.3,13
exp002_run02,169,7,B,5,A,7B:5A,9,8,22,1.3,13
exp002_run02,170,15,A,11,B,15A:11B,8,9,22,1.3,13
exp002_run02,171,13,B,10,B,13B:10B,9,9,22,1.3,13
exp002_run02,172,10,B,0,B,10B:0B,9,9,22,1.3,13
exp002_run02,173,9,A,4,A,9A:4A,9,9,22,1.3,13
exp002_run02,174,11,A,18,A,11A:18A,9,9,22,1.3,13
exp002_run02,175,13,B,10,B,13B:10B,9,9,22,1.3,13
exp002_run02,176,0,B,20,B,0B:20B,9,9,22,1.3,13
exp002_run02,177,7,B,21,B,7B:21B,9,9,22,1.3,13
exp002_run02,178,10,B,11,A,10B:11A,9,8,22,1.3,13
exp002_run02,179,8,B,10,B,8B:10B,8,8,22,1.3,13
exp002_run02,180,19,A,2,B,19A:2B,8,9,22,1.3,13
exp002_run02,181,8,B,15,A,8B:15A,9,8,22,1.3,13
exp002_run02,182,16,B,14,A,16B:14A,8,7,22,1.3,13
exp002_run02,183,15,B,7,B,15B:7B,7,7,22,1.3,13
exp002_run02,184,2,A,9,A,2A:9A,7,7,22,1.3,13
exp002_run02,185,6,B,10,B,6B:10B,7,7,22,1.3,13
exp002_run02,186,3,A,10,B,3A:10B,7,8,22,1.3,13
exp002_run02,187,10,A,11,B,10A:11B,8,9,22,1.3,13
exp002_run02,188,10,A,13,B,10A:13B,9,10,22,1.3,13
exp002_run02,189,12,B,6,B,12B:6B,10,10,22,1.3,13
exp002_run02,190,15,B,20,B,15B:20B,10,10,22,1.3,13
exp002_run02,191,10,A,1,A,10A:1A,10,10,22,1.3,13
exp002_run02,192,13,A,11,A,13A:11A,10,10,22,1.3,13
exp002_run02,193,20,B,21,B,20B:21B,10,10,22,1.3,13
exp002_run02,194,21,B,11,A,21B:11A,10,9,22,1.3,13
exp002_run02,195,21,B,6,B,21B:6B,9,9,22,1.3,13
exp002_run02,196,10,A,18,A,10A:18A,9,9,22,1.3,13
exp002_run02,197,18,A,21,B,18A:21B,9,10,22,1.3,13
exp002_run02,198,21,A,9,A,21A:9A,10,10,22,1.3,13
exp002_run02,199,8,B,11,B,8B:11B,10,10,22,1.3,13
exp002_run02,200,21,A,4,A,21A:4A,10,10,22,1.3,13
exp002_run02,201,17,B,14,B,17B:14B,10,10,22,1.3,13
exp002_run02,202,15,B,21,A,15B:21A,10,9,22,1.3,13
exp002_run02,203,0,B,19,A,0B:19A,9,8,22,1.3,13
exp002_run02,204,7,B,16,B,7B:16B,8,8,22,1.3,13
exp002_run02,205,11,B,19,B,11B:19B,8,8,22,1.3,13
exp002_run02,206,8,B,4,A,8B:4A,8,7,22,1.3,13
exp002_run02,207,4,B,0,B,4B:0B,7,7,22,1.3,13
exp002_run02,208,7,B,2,A,7B:2A,7,6,22,1.3,13
exp002_run02,209,4,B,19,B,4B:19B,6,6,22,1.3,13
exp002_run02,210,10,A,19,B,10A:19B,6,7,22,1.3,13
exp002_run02,211,16,B,18,A,16B:18A,7,6,22,1.3,13
exp002_run02,212,15,B,2,B,15B:2B,6,6,22,1.3,13
exp002_run02,213,1,A,19,A,1A:19A,6,6,22,1.3,13
exp002_run02,214,2,B,12,B,2B:12B,6,6,22,1.3,13
exp002_run02,215,19,A,12,B,19A:12B,6,7,22,1.3,13
exp002_run02,216,9,A,5,B,9A:5B,7,8,22,1.3,13
exp002_run02,217,21,B,19,A,21B:19A,8,7,22,1.3,13
exp002_run02,218,2,B,9,A,2B:9A,7,6,22,1.3,13
exp002_run02,219,0,B,4,B,0B:4B,6,6,22,1.3,13
exp002_run02,220,4,B,9,B,4B:9B,6,6,22,1.3,13
exp002_run02,221,1,A,0,B,1A:0B,6,7,22,1.3,13
exp002_run02,222,13,A,16,B,13A:16B,7,8,22,1.3,13
exp002_run02,223,21,B,0,A,21B:0A,8,7,22,1.3,13
exp002_run02,224,14,B,3,A,14B:3A,7,6,22,1.3,13
exp002_run02,225,3,B,10,A,3B:10A,6,5,22,1.3,13
exp002_run02,226,12,A,3,B,12A:3B,5,6,22,1.3,13
exp002_run02,227,0,B,5,A,0B:5A,6,5,22,1.3,13
exp002_run02,228,3,A,14,B,3A:14B,5,6,22,1.3,13
exp002_run02,229,2,B,15,B,2B:15B,6,6,22,1.3,13
exp002_run02,230,16,A,20,B,16A:20B,6,7,22,1.3,13
exp002_run02,231,21,B,18,B,21B:18B,7,7,22,1.3,13
exp002_run02,232,14,A,17,B,14A:17B,7,8,22,1.3,13
exp002_run02,233,16,A,1,A,16A:1A,8,8,22,1.3,13
exp002_run02,234,18,B,4,B,18B:4B,8,8,22,1.3,13
exp002_run02,235,8,B,21,B,8B:21B,8,8,22,1.3,13
exp002_run02,236,11,B,3,A,11B:3A,8,7,22,1.3,13
exp002_run02,237,12,A,12,A,12A:12A,7,7,22,1.3,13
exp002_run02,238,9,B,4,B,9B:4B,7,7,22,1.3,13
exp002_run02,239,14,A,5,B,14A:5B,7,8,22,1.3,13
exp002_run02,240,12,A,18,B,12A:18B,8,9,22,1.3,13
exp002_run02,241,2,B,15,B,2B:15B,9,9,22,1.3,13
exp002_run02,242,21,B,17,A,21B:17A,9,8,22,1.3,13
exp002_run02,243,4,B,12,A,4B:12A,8,7,22,1.3,13
exp002_run02,244,8,B,1,A,8B:1A,7,6,22,1.3,13
exp002_run02,245,12,B,12,B,12B:12B,6,6,22,1.3,13
exp002_run02,246,18,A,14,A,18A:14A,6,6,22,1.3,13
exp002_run02,247,17,B,0,B,17B:0B,6,6,22,1.3,13
exp002_run02,248,0,B,14,A,0B:14A,6,5,22,1.3,13
exp002_run02,249,8,B,9,B,8B:9B,5,5,22,1.3,13
exp002_run02,250,6,B,16,A,6B:16A,5,4,22,1.3,13
exp002_run02,251,16,B,15,B,16B:15B,4,4,22,1.3,13
exp002_run02,252,19,B,1,B,19B:1B,4,4,22,1.3,13
exp002_run02,253,8,B,20,A,8B:20A,4,3,22,1.3,13
exp002_run02,254,5,A,20,B,5A:20B,3,4,22,1.3,13
exp002_run02,255,4,B,4,B,4B:4B,4,4,22,1.3,13
exp002_run02,256,19,B,17,B,19B:17B,4,4,22,1.3,13
exp002_run02,257,1,B,13,A,1B:13A,4,3,22,1.3,13
exp002_run02,258,19,B,16,B,19B:16B,3,3,22,1.3,13
exp002_run02,259,8,B,6,B,8B:6B,3,3,22,1.3,13
exp002_run02,260,1,B,14,B,1B:14B,3,3,22,1.3,13
exp002_run02,261,17,B,5,A,17B:5A,3,2,22,1.3,13
exp002_run02,262,14,B,20,A,14B:20A,2,1,22,1.3,13
exp002_run02,263,18,A,11,B,18A:11B,1,2,22,1.3,13
exp002_run02,264,11,A,20,B,11A:20B,2,3,22,1.3,13
exp002_run02,265,7,B,0,B,7B:0B,3,3,22,1.3,13
exp002_run02,266,3,B,4,B,3B:4B,3,3,22,1.3,13
exp002_run02,267,18,A,15,B,18A:15B,3,4,22,1.3,13
exp002_run02,268,7,B,4,B,7B:4B,4,4,22,1.3,13
exp002_run02,269,3,B,9,B,3B:9B,4,4,22,1.3,13
exp002_run02,270,1,B,21,B,1B:21B,4,4,22,1.3,13
exp002_run02,271,16,B,9,B,16B:9B,4,4,22,1.3,13
exp002_run02,272,12,B,6,B,12B:6B,4,4,22,1.3,13
exp002_run02,273,3,B,18,A,3B:18A,4,3,22,1.3,13
exp002_run02,274,1,B,6,B,1B:6B,3,3,22,1.3,13
exp002_run02,275,14,B,9,B,14B:9B,3,3,22,1.3,13
exp002_run02,276,1,B,13,B,1B:13B,3,3,22,1.3,13
exp002_run02,277,9,B,0,B,9B:0B,3,3,22,1.3,13
exp002_run02,278,4,B,21,B,4B:21B,3,3,22,1.3,13
exp002_run02,279,18,B,11,A,18B:11A,3,2,22,1.3,13
exp002_run02,280,6,B,19,B,6B:19B,2,2,22,1.3,13
exp002_run02,281,4,B,4,B,4B:4B,2,2,22,1.3,13
exp002_run02,282,14,B,6,B,14B:6B,2,2,22,1.3,13
exp002_run02,283,12,B,2,B,12B:2B,2,2,22,1.3,13
exp002_run02,284,18,B,19,B,18B:19B,2,2,22,1.3,13
exp002_run02,285,13,B,20,A,13B:20A,2,1,22,1.3,13
exp002_run02,286,11,B,3,B,11B:3B,1,1,22,1.3,13
exp002_run02,287,17,B,0,B,17B:0B,1,1,22,1.3,13
exp002_run02,288,14,B,1,B,14B:1B,1,1,22,1.3,13
exp002_run02,289,13,B,1,B,13B:1B,1,1,22,1.3,13
exp002_run02,290,17,B,6,B,17B:6B,1,1,22,1.3,13
exp002_run02,291,10,B,2,B,10B:2B,1,1,22,1.3,13
exp002_run02,292,9,B,5,B,9B:5B,1,1,22,1.3,13
exp002_run02,293,14,B,7,B,14B:7B,1,1,22,1.3,13
exp002_run02,294,10,B,11,B,10B:11B,1,1,22,1.3,13
exp002_run02,295,18,B,5,B,18B:5B,1,1,22,1.3,13
exp002_run02,296,7,B,0,B,7B:0B,1,1,22,1.3,13
exp002_run02,297,13,B,10,B,13B:10B,1,1,22,1.3,13
exp002_run02,298,20,B,2,B,20B:2B,1,1,22,1.3,13
exp002_run02,299,2,B,9,B,2B:9B,1,1,22,1.3,13
exp002_run02,300,18,B,14,B,18B:14B,1,1,22,1.3,13
exp002_run02,301,11,B,5,B,11B:5B,1,1,22,1.3,13
exp002_run02,302,21,B,21,B,21B:21B,1,1,22,1.3,13
exp002_run02,303,8,B,2,B,8B:2B,1,1,22,1.3,13
exp002_run02,304,13,B,10,B,13B:10B,1,1,22,1.3,13
exp002_run02,305,7,B,15,A,7B:15A,1,0,22,1.3,13
