step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,14B:12B,14,B,12,B,3,3,15
1,9B:1A,9,B,1,A,3,2,15
2,12B:0A,12,B,0,A,2,1,15
3,4B:1B,4,B,1,B,1,1,15
4,7B:10B,7,B,10,B,1,1,15
5,11B:4B,11,B,4,B,1,1,15
6,9B:13B,9,B,13,B,1,1,15
7,9B:5B,9,B,5,B,1,1,15
8,1B:3B,1,B,3,B,1,1,15
9,7B:9B,7,B,9,B,1,1,15
10,13B:8B,13,B,8,B,1,1,15
11,5B:9B,5,B,9,B,1,1,15
12,3B:1B,3,B,1,B,1,1,15
13,9B:7B,9,B,7,B,1,1,15
14,13B:4B,13,B,4,B,1,1,15
15,10B:1B,10,B,1,B,1,1,15
16,1B:0B,1,B,0,B,1,1,15
17,5B:7B,5,B,7,B,1,1,15
18,1B:3B,1,B,3,B,1,1,15
19,13B:2A,13,B,2,A,1,0,15
