step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,12B:7B,12,B,7,B,3,3,15
1,9B:4B,9,B,4,B,3,3,15
2,10B:7B,10,B,7,B,3,3,15
3,10B:4B,10,B,4,B,3,3,15
4,1A:9B,1,A,9,B,3,4,15
5,8B:8B,8,B,8,B,4,4,15
6,2A:0A,2,A,0,A,4,4,15
7,9A:10B,9,A,10,B,4,5,15
8,4B:7B,4,B,7,B,5,5,15
9,8B:9A,8,B,9,A,5,4,15
10,5B:5B,5,B,5,B,4,4,15
11,13B:8B,13,B,8,B,4,4,15
12,3B:13B,3,B,13,B,4,4,15
13,9B:8B,9,B,8,B,4,4,15
14,8B:3B,8,B,3,B,4,4,15
15,5B:4B,5,B,4,B,4,4,15
16,14B:6B,14,B,6,B,4,4,15
17,7B:10A,7,B,10,A,4,3,15
18,2A:10B,2,A,10,B,3,4,15
19,11B:4B,11,B,4,B,4,4,15
20,1A:0A,1,A,0,A,4,4,15
21,0A:11B,0,A,11,B,4,5,15
22,4B:6B,4,B,6,B,5,5,15
23,6B:6B,6,B,6,B,5,5,15
24,0A:6B,0,A,6,B,5,6,15
25,10A:2A,10,A,2,A,6,6,15
26,5B:10A,5,B,10,A,6,5,15
27,1A:10B,1,A,10,B,5,6,15
28,3B:5B,3,B,5,B,6,6,15
29,14B:13B,14,B,13,B,6,6,15
30,13B:10A,13,B,10,A,6,5,15
31,9B:12B,9,B,12,B,5,5,15
32,1A:10B,1,A,10,B,5,6,15
33,2A:3B,2,A,3,B,6,7,15
34,14B:10A,14,B,10,A,7,6,15
35,10B:5B,10,B,5,B,6,6,15
36,5B:0A,5,B,0,A,6,5,15
37,0B:5B,0,B,5,B,5,5,15
38,10B:6A,10,B,6,A,5,4,15
39,10B:3A,10,B,3,A,4,3,15
40,3B:8B,3,B,8,B,3,3,15
41,13B:5B,13,B,5,B,3,3,15
42,2A:8B,2,A,8,B,3,4,15
43,12B:8A,12,B,8,A,4,3,15
44,5B:11A,5,B,11,A,3,2,15
45,6B:4B,6,B,4,B,2,2,15
46,10B:14B,10,B,14,B,2,2,15
47,1A:0B,1,A,0,B,2,3,15
48,11B:1A,11,B,1,A,3,2,15
49,5B:13B,5,B,13,B,2,2,15
50,1B:0A,1,B,0,A,2,1,15
51,1B:3B,1,B,3,B,1,1,15
52,5B:13B,5,B,13,B,1,1,15
53,11B:9B,11,B,9,B,1,1,15
54,3B:13B,3,B,13,B,1,1,15
55,9B:1B,9,B,1,B,1,1,15
56,0B:5B,0,B,5,B,1,1,15
57,4B:14B,4,B,14,B,1,1,15
58,9B:1B,9,B,1,B,1,1,15
59,11B:3B,11,B,3,B,1,1,15
60,8B:2A,8,B,2,A,1,0,15
