step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,4A:8A,4,A,8,A,18,18,20
1,3A:4A,3,A,4,A,18,18,20
2,11A:1A,11,A,1,A,18,18,20
3,1A:0A,1,A,0,A,18,18,20
4,6A:3A,6,A,3,A,18,18,20
5,2A:15A,2,A,15,A,18,18,20
6,3A:19B,3,A,19,B,18,19,20
7,19A:8A,19,A,8,A,19,19,20
8,10A:6A,10,A,6,A,19,19,20
9,18B:5A,18,B,5,A,19,18,20
10,3A:2A,3,A,2,A,18,18,20
11,8A:2A,8,A,2,A,18,18,20
12,19A:14A,19,A,14,A,18,18,20
13,11A:13A,11,A,13,A,18,18,20
14,18B:0A,18,B,0,A,18,17,20
15,18B:17A,18,B,17,A,17,16,20
16,6A:6A,6,A,6,A,16,16,20
17,15A:2A,15,A,2,A,16,16,20
18,8A:12A,8,A,12,A,16,16,20
19,10A:17B,10,A,17,B,16,17,20
20,7A:18B,7,A,18,B,17,18,20
21,5B:11A,5,B,11,A,18,17,20
22,7A:19A,7,A,19,A,17,17,20
23,8A:5B,8,A,5,B,17,18,20
24,1A:11B,1,A,11,B,18,19,20
25,15A:19A,15,A,19,A,19,19,20
26,6A:9A,6,A,9,A,19,19,20
27,2A:2A,2,A,2,A,19,19,20
28,6A:4A,6,A,4,A,19,19,20
29,6A:3A,6,A,3,A,19,19,20
30,6A:15A,6,A,15,A,19,19,20
31,14A:5A,14,A,5,A,19,19,20
32,0B:19A,0,B,19,A,19,18,20
33,4A:0B,4,A,0,B,18,19,20
34,0A:6A,0,A,6,A,19,19,20
35,6A:10A,6,A,10,A,19,19,20
36,19B:7A,19,B,7,A,19,18,20
37,18A:12A,18,A,12,A,18,18,20
38,1A:13A,1,A,13,A,18,18,20
39,7B:15A,7,B,15,A,18,17,20
40,13A:19B,13,A,19,B,17,18,20
41,18A:6A,18,A,6,A,18,18,20
42,8A:15B,8,A,15,B,18,19,20
43,0A:7B,0,A,7,B,19,20,20
