step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,1A:3B,1,A,3,B,3,4,15
1,9B:10B,9,B,10,B,4,4,15
2,12B:6B,12,B,6,B,4,4,15
3,7B:8B,7,B,8,B,4,4,15
4,9B:14B,9,B,14,B,4,4,15
5,14B:5B,14,B,5,B,4,4,15
6,7B:9B,7,B,9,B,4,4,15
7,2A:0A,2,A,0,A,4,4,15
8,13B:8B,13,B,8,B,4,4,15
9,5B:3A,5,B,3,A,4,3,15
10,4B:12B,4,B,12,B,3,3,15
11,8B:7B,8,B,7,B,3,3,15
12,2A:2A,2,A,2,A,3,3,15
13,8B:9B,8,B,9,B,3,3,15
14,12B:5B,12,B,5,B,3,3,15
15,1A:13B,1,A,13,B,3,4,15
16,1A:3B,1,A,3,B,4,5,15
17,8B:12B,8,B,12,B,5,5,15
18,3A:6B,3,A,6,B,5,6,15
19,13A:7B,13,A,7,B,6,7,15
20,12B:14B,12,B,14,B,7,7,15
21,1A:9B,1,A,9,B,7,8,15
22,11B:12B,11,B,12,B,8,8,15
23,3A:3A,3,A,3,A,8,8,15
24,3A:5B,3,A,5,B,8,9,15
25,4B:1A,4,B,1,A,9,8,15
26,0A:0A,0,A,0,A,8,8,15
27,11B:0A,11,B,0,A,8,7,15
28,12B:10B,12,B,10,B,7,7,15
29,3A:11B,3,A,11,B,7,8,15
30,8B:7A,8,B,7,A,8,7,15
31,13A:0B,13,A,0,B,7,8,15
32,0A:6A,0,A,6,A,8,8,15
33,3A:1B,3,A,1,B,8,9,15
34,11A:7B,11,A,7,B,9,10,15
35,11A:9A,11,A,9,A,10,10,15
36,4B:11A,4,B,11,A,10,9,15
37,6A:7A,6,A,7,A,9,9,15
38,11B:7A,11,B,7,A,9,8,15
39,10B:10B,10,B,10,B,8,8,15
40,11B:3A,11,B,3,A,8,7,15
41,0A:13A,0,A,13,A,7,7,15
42,7B:6A,7,B,6,A,7,6,15
43,2A:9A,2,A,9,A,6,6,15
44,7B:12B,7,B,12,B,6,6,15
45,11B:5A,11,B,5,A,6,5,15
46,14B:0A,14,B,0,A,5,4,15
47,12B:7B,12,B,7,B,4,4,15
48,14B:1A,14,B,1,A,4,3,15
49,11B:10B,11,B,10,B,3,3,15
50,6B:7B,6,B,7,B,3,3,15
51,2A:7B,2,A,7,B,3,4,15
52,6B:4B,6,B,4,B,4,4,15
53,9A:5B,9,A,5,B,4,5,15
54,13A:2A,13,A,2,A,5,5,15
55,8B:14B,8,B,14,B,5,5,15
56,7A:4B,7,A,4,B,5,6,15
57,0B:5A,0,B,5,A,6,5,15
58,6B:7A,6,B,7,A,5,4,15
59,2A:4A,2,A,4,A,4,4,15
60,7B:11B,7,B,11,B,4,4,15
61,6B:5B,6,B,5,B,4,4,15
62,5B:10B,5,B,10,B,4,4,15
63,5B:2A,5,B,2,A,4,3,15
64,10B:8B,10,B,8,B,3,3,15
65,7B:2B,7,B,2,B,3,3,15
66,8B:6B,8,B,6,B,3,3,15
67,2B:4A,2,B,4,A,3,2,15
68,11B:8B,11,B,8,B,2,2,15
69,3B:0B,3,B,0,B,2,2,15
70,6B:0B,6,B,0,B,2,2,15
71,2B:11B,2,B,11,B,2,2,15
72,11B:3B,11,B,3,B,2,2,15
73,5B:7B,5,B,7,B,2,2,15
74,5B:6B,5,B,6,B,2,2,15
75,4B:4B,4,B,4,B,2,2,15
76,14B:3B,14,B,3,B,2,2,15
77,5B:12B,5,B,12,B,2,2,15
78,8B:0B,8,B,0,B,2,2,15
79,5B:6B,5,B,6,B,2,2,15
80,1B:3B,1,B,3,B,2,2,15
81,10B:6B,10,B,6,B,2,2,15
82,13A:14B,13,A,14,B,2,3,15
83,13A:14A,13,A,14,A,3,3,15
84,14A:13A,14,A,13,A,3,3,15
85,10B:11B,10,B,11,B,3,3,15
86,12B:6B,12,B,6,B,3,3,15
87,14A:12B,14,A,12,B,3,4,15
88,7B:10B,7,B,10,B,4,4,15
89,4B:9A,4,B,9,A,4,3,15
90,8B:8B,8,B,8,B,3,3,15
91,6B:10B,6,B,10,B,3,3,15
92,9B:5B,9,B,5,B,3,3,15
93,3B:6B,3,B,6,B,3,3,15
94,9B:8B,9,B,8,B,3,3,15
95,1B:13A,1,B,13,A,3,2,15
96,12A:14A,12,A,14,A,2,2,15
97,3B:14A,3,B,14,A,2,1,15
98,14B:4B,14,B,4,B,1,1,15
99,12A:7B,12,A,7,B,1,2,15
100,14B:12A,14,B,12,A,2,1,15
101,1B:8B,1,B,8,B,1,1,15
102,1B:2B,1,B,2,B,1,1,15
103,0B:3B,0,B,3,B,1,1,15
104,6B:11B,6,B,11,B,1,1,15
105,14B:3B,14,B,3,B,1,1,15
106,14B:11B,14,B,11,B,1,1,15
107,0B:12B,0,B,12,B,1,1,15
108,10B:0B,10,B,0,B,1,1,15
109,10B:7A,10,B,7,A,1,0,15
