step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,1A:4A,1,A,4,A,11,11,15
1,3A:1A,3,A,1,A,11,11,15
2,0A:6A,0,A,6,A,11,11,15
3,8A:9A,8,A,9,A,11,11,15
4,6A:1A,6,A,1,A,11,11,15
5,11B:7A,11,B,7,A,11,10,15
6,8A:0A,8,A,0,A,10,10,15
7,8A:9A,8,A,9,A,10,10,15
8,3A:2A,3,A,2,A,10,10,15
9,3A:0A,3,A,0,A,10,10,15
10,8A:3A,8,A,3,A,10,10,15
11,7B:2A,7,B,2,A,10,9,15
12,9A:1A,9,A,1,A,9,9,15
13,6A:5A,6,A,5,A,9,9,15
14,0A:8A,0,A,8,A,9,9,15
15,7B:12B,7,B,12,B,9,9,15
16,14B:8A,14,B,8,A,9,8,15
17,0A:13B,0,A,13,B,8,9,15
18,6A:10A,6,A,10,A,9,9,15
19,5A:5A,5,A,5,A,9,9,15
20,3A:0A,3,A,0,A,9,9,15
21,4A:1A,4,A,1,A,9,9,15
22,4A:11B,4,A,11,B,9,10,15
23,9A:1A,9,A,1,A,10,10,15
24,11A:11A,11,A,11,A,10,10,15
25,11A:2B,11,A,2,B,10,11,15
26,0A:8B,0,A,8,B,11,12,15
27,4A:10A,4,A,10,A,12,12,15
28,2A:12B,2,A,12,B,12,13,15
29,10A:11A,10,A,11,A,13,13,15
30,6A:2A,6,A,2,A,13,13,15
31,11A:1A,11,A,1,A,13,13,15
32,10A:7B,10,A,7,B,13,14,15
33,0A:3A,0,A,3,A,14,14,15
34,0A:3A,0,A,3,A,14,14,15
35,12A:5A,12,A,5,A,14,14,15
36,13A:8A,13,A,8,A,14,14,15
37,5A:13A,5,A,13,A,14,14,15
38,7A:4A,7,A,4,A,14,14,15
39,0A:10A,0,A,10,A,14,14,15
40,2A:5A,2,A,5,A,14,14,15
41,12A:0A,12,A,0,A,14,14,15
42,12A:5A,12,A,5,A,14,14,15
43,3A:12A,3,A,12,A,14,14,15
44,5A:14B,5,A,14,B,14,15,15
