step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,18B:7A,18,B,7,A,10,9,20
1,4A:13B,4,A,13,B,9,10,20
2,15B:10B,15,B,10,B,10,10,20
3,7B:16B,7,B,16,B,10,10,20
4,2A:16B,2,A,16,B,10,11,20
5,10B:2A,10,B,2,A,11,10,20
6,17B:16A,17,B,16,A,10,9,20
7,7B:12B,7,B,12,B,9,9,20
8,19B:3A,19,B,3,A,9,8,20
9,0A:1A,0,A,1,A,8,8,20
10,15B:16B,15,B,16,B,8,8,20
11,11B:4A,11,B,4,A,8,7,20
12,17B:2B,17,B,2,B,7,7,20
13,0A:18B,0,A,18,B,7,8,20
14,8A:15B,8,A,15,B,8,9,20
15,18A:1A,18,A,1,A,9,9,20
16,0A:5A,0,A,5,A,9,9,20
17,2B:19B,2,B,19,B,9,9,20
18,6A:3B,6,A,3,B,9,10,20
19,17B:10B,17,B,10,B,10,10,20
20,6A:5A,6,A,5,A,10,10,20
21,19B:11B,19,B,11,B,10,10,20
22,2B:9A,2,B,9,A,10,9,20
23,19B:4B,19,B,4,B,9,9,20
24,5A:6A,5,A,6,A,9,9,20
25,11B:9B,11,B,9,B,9,9,20
26,3A:10B,3,A,10,B,9,10,20
27,10A:5A,10,A,5,A,10,10,20
28,9B:3A,9,B,3,A,10,9,20
29,9B:3B,9,B,3,B,9,9,20
30,7B:0A,7,B,0,A,9,8,20
31,2B:10A,2,B,10,A,8,7,20
32,14B:18A,14,B,18,A,7,6,20
33,12B:1A,12,B,1,A,6,5,20
34,12B:3B,12,B,3,B,5,5,20
35,4B:4B,4,B,4,B,5,5,20
36,16B:5A,16,B,5,A,5,4,20
37,16B:18B,16,B,18,B,4,4,20
38,12B:17B,12,B,17,B,4,4,20
39,15A:0B,15,A,0,B,4,5,20
40,9B:8A,9,B,8,A,5,4,20
41,1B:9B,1,B,9,B,4,4,20
42,1B:15A,1,B,15,A,4,3,20
43,16B:6A,16,B,6,A,3,2,20
44,5B:19B,5,B,19,B,2,2,20
45,2B:7B,2,B,7,B,2,2,20
46,6B:10B,6,B,10,B,2,2,20
47,16B:12B,16,B,12,B,2,2,20
48,1B:16B,1,B,16,B,2,2,20
49,2B:10B,2,B,10,B,2,2,20
50,2B:1B,2,B,1,B,2,2,20
51,7B:4B,7,B,4,B,2,2,20
52,3B:19B,3,B,19,B,2,2,20
53,13A:15B,13,A,15,B,2,3,20
54,17B:16B,17,B,16,B,3,3,20
55,19B:17B,19,B,17,B,3,3,20
56,18B:6B,18,B,6,B,3,3,20
57,17B:5B,17,B,5,B,3,3,20
58,6B:3B,6,B,3,B,3,3,20
59,4B:5B,4,B,5,B,3,3,20
60,12B:13A,12,B,13,A,3,2,20
61,9B:15A,9,B,15,A,2,1,20
62,18B:13B,18,B,13,B,1,1,20
63,2B:14B,2,B,14,B,1,1,20
64,16B:16B,16,B,16,B,1,1,20
65,7B:8B,7,B,8,B,1,1,20
66,10B:9B,10,B,9,B,1,1,20
67,4B:16B,4,B,16,B,1,1,20
68,7B:16B,7,B,16,B,1,1,20
69,9B:19B,9,B,19,B,1,1,20
70,1B:18B,1,B,18,B,1,1,20
71,18B:14B,18,B,14,B,1,1,20
72,9B:9B,9,B,9,B,1,1,20
73,1B:5B,1,B,5,B,1,1,20
74,11B:1B,11,B,1,B,1,1,20
75,15B:5B,15,B,5,B,1,1,20
76,17B:16B,17,B,16,B,1,1,20
77,17B:11B,17,B,11,B,1,1,20
78,6B:0A,6,B,0,A,1,0,20
