step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,19B:15B,19,B,15,B,6,6,20
1,15B:18B,15,B,18,B,6,6,20
2,6B:4A,6,B,4,A,6,5,20
3,0A:0A,0,A,0,A,5,5,20
4,19B:1A,19,B,1,A,5,4,20
5,13B:13B,13,B,13,B,4,4,20
6,12B:12B,12,B,12,B,4,4,20
7,13B:11B,13,B,11,B,4,4,20
8,16B:6B,16,B,6,B,4,4,20
9,17B:14B,17,B,14,B,4,4,20
10,7B:5A,7,B,5,A,4,3,20
11,13B:10B,13,B,10,B,3,3,20
12,12B:4B,12,B,4,B,3,3,20
13,18B:10B,18,B,10,B,3,3,20
14,15B:7B,15,B,7,B,3,3,20
15,6B:2A,6,B,2,A,3,2,20
16,13B:13B,13,B,13,B,2,2,20
17,8B:8B,8,B,8,B,2,2,20
18,10B:13B,10,B,13,B,2,2,20
19,3A:0A,3,A,0,A,2,2,20
20,15B:13B,15,B,13,B,2,2,20
21,8B:15B,8,B,15,B,2,2,20
22,12B:17B,12,B,17,B,2,2,20
23,18B:0A,18,B,0,A,2,1,20
24,5B:10B,5,B,10,B,1,1,20
25,6B:18B,6,B,18,B,1,1,20
26,5B:16B,5,B,16,B,1,1,20
27,11B:10B,11,B,10,B,1,1,20
28,5B:1B,5,B,1,B,1,1,20
29,19B:17B,19,B,17,B,1,1,20
30,11B:19B,11,B,19,B,1,1,20
31,10B:16B,10,B,16,B,1,1,20
32,9B:8B,9,B,8,B,1,1,20
33,6B:18B,6,B,18,B,1,1,20
34,16B:18B,16,B,18,B,1,1,20
35,18B:8B,18,B,8,B,1,1,20
36,7B:17B,7,B,17,B,1,1,20
37,8B:2B,8,B,2,B,1,1,20
38,9B:1B,9,B,1,B,1,1,20
39,15B:19B,15,B,19,B,1,1,20
40,10B:4B,10,B,4,B,1,1,20
41,2B:15B,2,B,15,B,1,1,20
42,10B:15B,10,B,15,B,1,1,20
43,12B:1B,12,B,1,B,1,1,20
44,14B:13B,14,B,13,B,1,1,20
45,18B:16B,18,B,16,B,1,1,20
46,5B:11B,5,B,11,B,1,1,20
47,1B:5B,1,B,5,B,1,1,20
48,3A:5B,3,A,5,B,1,2,20
49,18B:17B,18,B,17,B,2,2,20
50,0B:11B,0,B,11,B,2,2,20
51,1B:4B,1,B,4,B,2,2,20
52,0B:17B,0,B,17,B,2,2,20
53,17B:9B,17,B,9,B,2,2,20
54,19B:1B,19,B,1,B,2,2,20
55,12B:16B,12,B,16,B,2,2,20
56,9B:5A,9,B,5,A,2,1,20
57,0B:13B,0,B,13,B,1,1,20
58,16B:18B,16,B,18,B,1,1,20
59,12B:0B,12,B,0,B,1,1,20
60,5B:13B,5,B,13,B,1,1,20
61,7B:4B,7,B,4,B,1,1,20
62,11B:17B,11,B,17,B,1,1,20
63,19B:5B,19,B,5,B,1,1,20
64,15B:19B,15,B,19,B,1,1,20
65,11B:13B,11,B,13,B,1,1,20
66,19B:7B,19,B,7,B,1,1,20
67,17B:19B,17,B,19,B,1,1,20
68,13B:3A,13,B,3,A,1,0,20
