step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,12B:0A,12,B,0,A,4,3,20
1,14B:7B,14,B,7,B,3,3,20
2,3A:3A,3,A,3,A,3,3,20
3,13B:17B,13,B,17,B,3,3,20
4,1A:13B,1,A,13,B,3,4,20
5,0B:2A,0,B,2,A,4,3,20
6,3A:16B,3,A,16,B,3,4,20
7,12B:17B,12,B,17,B,4,4,20
8,3A:17B,3,A,17,B,4,5,20
9,8B:14B,8,B,14,B,5,5,20
10,12B:0B,12,B,0,B,5,5,20
11,15B:5B,15,B,5,B,5,5,20
12,14B:10B,14,B,10,B,5,5,20
13,5B:6B,5,B,6,B,5,5,20
14,19B:10B,19,B,10,B,5,5,20
15,1A:12B,1,A,12,B,5,6,20
16,1A:11B,1,A,11,B,6,7,20
17,12A:1A,12,A,1,A,7,7,20
18,14B:17A,14,B,17,A,7,6,20
19,2B:12A,2,B,12,A,6,5,20
20,1A:9B,1,A,9,B,5,6,20
21,16A:19B,16,A,19,B,6,7,20
22,17B:11A,17,B,11,A,7,6,20
23,11B:2B,11,B,2,B,6,6,20
24,1A:7B,1,A,7,B,6,7,20
25,15B:2B,15,B,2,B,7,7,20
26,17B:3A,17,B,3,A,7,6,20
27,7A:14B,7,A,14,B,6,7,20
28,13A:11B,13,A,11,B,7,8,20
29,3B:11A,3,B,11,A,8,7,20
30,4B:8B,4,B,8,B,7,7,20
31,14A:2B,14,A,2,B,7,8,20
32,12B:5B,12,B,5,B,8,8,20
33,10B:7A,10,B,7,A,8,7,20
34,2A:12B,2,A,12,B,7,8,20
35,5B:17B,5,B,17,B,8,8,20
36,4B:10B,4,B,10,B,8,8,20
37,16A:1A,16,A,1,A,8,8,20
38,4B:1A,4,B,1,A,8,7,20
39,16A:12A,16,A,12,A,7,7,20
40,5B:6B,5,B,6,B,7,7,20
41,18B:18B,18,B,18,B,7,7,20
42,17B:10B,17,B,10,B,7,7,20
43,4B:15B,4,B,15,B,7,7,20
44,8B:14A,8,B,14,A,7,6,20
45,2A:4B,2,A,4,B,6,7,20
46,4A:17B,4,A,17,B,7,8,20
47,11B:18B,11,B,18,B,8,8,20
48,9A:18B,9,A,18,B,8,9,20
49,8B:7B,8,B,7,B,9,9,20
50,19A:4A,19,A,4,A,9,9,20
51,10B:2A,10,B,2,A,9,8,20
52,15B:3B,15,B,3,B,8,8,20
53,3B:5B,3,B,5,B,8,8,20
54,16A:13A,16,A,13,A,8,8,20
55,12A:12A,12,A,12,A,8,8,20
56,8B:14B,8,B,14,B,8,8,20
57,11B:17A,11,B,17,A,8,7,20
58,17B:0B,17,B,0,B,7,7,20
59,13A:3B,13,A,3,B,7,8,20
60,13A:17B,13,A,17,B,8,9,20
61,15B:10B,15,B,10,B,9,9,20
62,2B:13A,2,B,13,A,9,8,20
63,3A:0B,3,A,0,B,8,9,20
64,19A:8B,19,A,8,B,9,10,20
65,19A:5B,19,A,5,B,10,11,20
66,10B:3A,10,B,3,A,11,10,20
67,17A:9A,17,A,9,A,10,10,20
68,17A:16A,17,A,16,A,10,10,20
69,12A:4A,12,A,4,A,10,10,20
70,7B:5A,7,B,5,A,10,9,20
71,11B:16A,11,B,16,A,9,8,20
72,18A:19A,18,A,19,A,8,8,20
73,6B:0A,6,B,0,A,8,7,20
74,2B:11B,2,B,11,B,7,7,20
75,17A:9A,17,A,9,A,7,7,20
76,5B:7B,5,B,7,B,7,7,20
77,17A:2B,17,A,2,B,7,8,20
78,1B:15B,1,B,15,B,8,8,20
79,16B:17A,16,B,17,A,8,7,20
80,15B:4A,15,B,4,A,7,6,20
81,13B:17B,13,B,17,B,6,6,20
82,3B:16B,3,B,16,B,6,6,20
83,17B:13B,17,B,13,B,6,6,20
84,19A:17B,19,A,17,B,6,7,20
85,15B:6B,15,B,6,B,7,7,20
86,14B:12A,14,B,12,A,7,6,20
87,19A:11B,19,A,11,B,6,7,20
88,9A:16B,9,A,16,B,7,8,20
89,9A:7B,9,A,7,B,8,9,20
90,4B:10B,4,B,10,B,9,9,20
91,0B:17A,0,B,17,A,9,8,20
92,4B:7A,4,B,7,A,8,7,20
93,0B:1B,0,B,1,B,7,7,20
94,4B:1B,4,B,1,B,7,7,20
95,17B:2A,17,B,2,A,7,6,20
96,10B:8A,10,B,8,A,6,5,20
97,13B:6B,13,B,6,B,5,5,20
98,11A:18A,11,A,18,A,5,5,20
99,11A:7B,11,A,7,B,5,6,20
100,16A:13B,16,A,13,B,6,7,20
101,4B:3B,4,B,3,B,7,7,20
102,13A:11A,13,A,11,A,7,7,20
103,9A:14B,9,A,14,B,7,8,20
104,17B:1B,17,B,1,B,8,8,20
105,13A:3B,13,A,3,B,8,9,20
106,1B:10B,1,B,10,B,9,9,20
107,16A:3A,16,A,3,A,9,9,20
108,5B:6B,5,B,6,B,9,9,20
109,11A:4B,11,A,4,B,9,10,20
110,8B:8B,8,B,8,B,10,10,20
111,9A:2B,9,A,2,B,10,11,20
112,9A:17B,9,A,17,B,11,12,20
113,2A:17A,2,A,17,A,12,12,20
114,17A:2A,17,A,2,A,12,12,20
115,18A:7A,18,A,7,A,12,12,20
