step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,11A:5A,11,A,5,A,12,12,15
1,0A:11A,0,A,11,A,12,12,15
2,4A:10A,4,A,10,A,12,12,15
3,0A:3A,0,A,3,A,12,12,15
4,4A:1A,4,A,1,A,12,12,15
5,11A:11A,11,A,11,A,12,12,15
6,13B:0A,13,B,0,A,12,11,15
7,9A:8A,9,A,8,A,11,11,15
8,10A:6A,10,A,6,A,11,11,15
9,7A:9A,7,A,9,A,11,11,15
10,12B:2A,12,B,2,A,11,10,15
11,2B:4A,2,B,4,A,10,9,15
12,14B:10A,14,B,10,A,9,8,15
13,1A:3A,1,A,3,A,8,8,15
14,0B:8A,0,B,8,A,8,7,15
15,4B:14B,4,B,14,B,7,7,15
16,13B:12B,13,B,12,B,7,7,15
17,4B:2B,4,B,2,B,7,7,15
18,13B:1A,13,B,1,A,7,6,15
19,10B:4B,10,B,4,B,6,6,15
20,12B:10B,12,B,10,B,6,6,15
21,14B:7A,14,B,7,A,6,5,15
22,1B:1B,1,B,1,B,5,5,15
23,8B:3A,8,B,3,A,5,4,15
24,3B:4B,3,B,4,B,4,4,15
25,8B:12B,8,B,12,B,4,4,15
26,4B:11A,4,B,11,A,4,3,15
27,13B:9A,13,B,9,A,3,2,15
28,5A:7B,5,A,7,B,2,3,15
29,3B:6A,3,B,6,A,3,2,15
30,7A:7A,7,A,7,A,2,2,15
31,1B:7A,1,B,7,A,2,1,15
32,11B:3B,11,B,3,B,1,1,15
33,7B:13B,7,B,13,B,1,1,15
34,2B:5A,2,B,5,A,1,0,15
