step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,16B:0A,16,B,0,A,16,15,20
1,5A:11A,5,A,11,A,15,15,20
2,0B:18B,0,B,18,B,15,15,20
3,14A:17B,14,A,17,B,15,16,20
4,16B:14A,16,B,14,A,16,15,20
5,0B:10A,0,B,10,A,15,14,20
6,16B:19B,16,B,19,B,14,14,20
7,15A:11A,15,A,11,A,14,14,20
8,0B:9A,0,B,9,A,14,13,20
9,10B:8A,10,B,8,A,13,12,20
10,11A:6A,11,A,6,A,12,12,20
11,10B:11A,10,B,11,A,12,11,20
12,8B:8B,8,B,8,B,11,11,20
13,15A:18B,15,A,18,B,11,12,20
14,5A:17A,5,A,17,A,12,12,20
15,10B:12A,10,B,12,A,12,11,20
16,10B:6A,10,B,6,A,11,10,20
17,12B:9B,12,B,9,B,10,10,20
18,1A:5A,1,A,5,A,10,10,20
19,9B:19B,9,B,19,B,10,10,20
20,12B:9B,12,B,9,B,10,10,20
21,2A:5A,2,A,5,A,10,10,20
22,1A:6B,1,A,6,B,10,11,20
23,4A:7A,4,A,7,A,11,11,20
24,7A:9B,7,A,9,B,11,12,20
25,9A:0B,9,A,0,B,12,13,20
26,1A:13A,1,A,13,A,13,13,20
27,19B:14B,19,B,14,B,13,13,20
28,11B:5A,11,B,5,A,13,12,20
29,2A:10B,2,A,10,B,12,13,20
30,9A:16B,9,A,16,B,13,14,20
31,0A:13A,0,A,13,A,14,14,20
32,9A:19B,9,A,19,B,14,15,20
33,18A:0A,18,A,0,A,15,15,20
34,2A:8B,2,A,8,B,15,16,20
35,6A:6A,6,A,6,A,16,16,20
36,3A:18A,3,A,18,A,16,16,20
37,11B:12B,11,B,12,B,16,16,20
38,14B:3A,14,B,3,A,16,15,20
39,16A:6A,16,A,6,A,15,15,20
40,4A:4A,4,A,4,A,15,15,20
41,7A:4A,7,A,4,A,15,15,20
42,18A:9A,18,A,9,A,15,15,20
43,17A:2A,17,A,2,A,15,15,20
44,12B:9A,12,B,9,A,15,14,20
45,12B:13A,12,B,13,A,14,13,20
46,18A:10A,18,A,10,A,13,13,20
47,11B:16A,11,B,16,A,13,12,20
48,14B:7A,14,B,7,A,12,11,20
49,4A:8A,4,A,8,A,11,11,20
50,19A:9B,19,A,9,B,11,12,20
51,3B:19A,3,B,19,A,12,11,20
52,8A:17A,8,A,17,A,11,11,20
53,6A:8A,6,A,8,A,11,11,20
54,15A:6A,15,A,6,A,11,11,20
55,6A:11B,6,A,11,B,11,12,20
56,13B:9A,13,B,9,A,12,11,20
57,9B:12B,9,B,12,B,11,11,20
58,10A:8A,10,A,8,A,11,11,20
59,12B:5B,12,B,5,B,11,11,20
60,4A:19B,4,A,19,B,11,12,20
61,5B:18A,5,B,18,A,12,11,20
62,8A:7B,8,A,7,B,11,12,20
63,3B:17A,3,B,17,A,12,11,20
64,15A:15A,15,A,15,A,11,11,20
65,18B:7A,18,B,7,A,11,10,20
66,3B:6A,3,B,6,A,10,9,20
67,17B:3B,17,B,3,B,9,9,20
68,17B:13B,17,B,13,B,9,9,20
69,6B:1A,6,B,1,A,9,8,20
70,4A:16B,4,A,16,B,8,9,20
71,2A:8A,2,A,8,A,9,9,20
72,0A:6B,0,A,6,B,9,10,20
73,6A:13B,6,A,13,B,10,11,20
74,11A:2A,11,A,2,A,11,11,20
75,18B:8A,18,B,8,A,11,10,20
76,6A:13A,6,A,13,A,10,10,20
77,16A:11A,16,A,11,A,10,10,20
78,4A:10A,4,A,10,A,10,10,20
79,2A:15A,2,A,15,A,10,10,20
80,8B:1B,8,B,1,B,10,10,20
81,3B:13A,3,B,13,A,10,9,20
82,13B:1B,13,B,1,B,9,9,20
83,11A:10A,11,A,10,A,9,9,20
84,10A:13B,10,A,13,B,9,10,20
85,14B:18B,14,B,18,B,10,10,20
86,18B:11A,18,B,11,A,10,9,20
87,7B:1B,7,B,1,B,9,9,20
88,0A:15A,0,A,15,A,9,9,20
89,10A:5B,10,A,5,B,9,10,20
90,0A:10A,0,A,10,A,10,10,20
91,4A:19A,4,A,19,A,10,10,20
92,1B:16A,1,B,16,A,10,9,20
93,15A:13A,15,A,13,A,9,9,20
94,9B:19A,9,B,19,A,9,8,20
95,4A:10A,4,A,10,A,8,8,20
96,1B:0A,1,B,0,A,8,7,20
97,0B:0B,0,B,0,B,7,7,20
98,18B:18B,18,B,18,B,7,7,20
99,2A:2A,2,A,2,A,7,7,20
100,6A:6A,6,A,6,A,7,7,20
101,6A:17B,6,A,17,B,7,8,20
102,14B:1B,14,B,1,B,8,8,20
103,18B:19B,18,B,19,B,8,8,20
104,19B:5A,19,B,5,A,8,7,20
105,17A:13A,17,A,13,A,7,7,20
106,15A:16B,15,A,16,B,7,8,20
107,1B:10A,1,B,10,A,8,7,20
108,16A:10B,16,A,10,B,7,8,20
109,4A:18B,4,A,18,B,8,9,20
110,9B:17A,9,B,17,A,9,8,20
111,13A:6A,13,A,6,A,8,8,20
112,10A:6A,10,A,6,A,8,8,20
113,4A:4A,4,A,4,A,8,8,20
114,2A:14B,2,A,14,B,8,9,20
115,19B:12B,19,B,12,B,9,9,20
116,2A:3B,2,A,3,B,9,10,20
117,12B:5B,12,B,5,B,10,10,20
118,14A:19B,14,A,19,B,10,11,20
119,13A:8B,13,A,8,B,11,12,20
120,5B:1B,5,B,1,B,12,12,20
121,3A:5B,3,A,5,B,12,13,20
122,18A:0B,18,A,0,B,13,14,20
123,17B:5A,17,B,5,A,14,13,20
124,15A:4A,15,A,4,A,13,13,20
125,15A:5B,15,A,5,B,13,14,20
126,7B:1B,7,B,1,B,14,14,20
127,6A:8A,6,A,8,A,14,14,20
128,0A:8A,0,A,8,A,14,14,20
129,11B:9B,11,B,9,B,14,14,20
130,10A:16A,10,A,16,A,14,14,20
131,14A:7B,14,A,7,B,14,15,20
132,10A:1B,10,A,1,B,15,16,20
133,11B:16A,11,B,16,A,16,15,20
134,16B:11B,16,B,11,B,15,15,20
135,13A:13A,13,A,13,A,15,15,20
136,8A:1A,8,A,1,A,15,15,20
137,4A:15A,4,A,15,A,15,15,20
138,17B:1A,17,B,1,A,15,14,20
139,9B:1B,9,B,1,B,14,14,20
140,1B:17B,1,B,17,B,14,14,20
141,10A:5A,10,A,5,A,14,14,20
142,19A:9B,19,A,9,B,14,15,20
143,1B:17B,1,B,17,B,15,15,20
144,9A:6A,9,A,6,A,15,15,20
145,14A:16B,14,A,16,B,15,16,20
146,10A:8A,10,A,8,A,16,16,20
147,6A:11B,6,A,11,B,16,17,20
148,7A:15A,7,A,15,A,17,17,20
149,12B:0A,12,B,0,A,17,16,20
150,16A:9A,16,A,9,A,16,16,20
151,19A:12B,19,A,12,B,16,17,20
152,12A:9A,12,A,9,A,17,17,20
153,2A:8A,2,A,8,A,17,17,20
154,14A:16A,14,A,16,A,17,17,20
155,4A:12A,4,A,12,A,17,17,20
156,10A:4A,10,A,4,A,17,17,20
157,2A:2A,2,A,2,A,17,17,20
158,18A:2A,18,A,2,A,17,17,20
159,6A:4A,6,A,4,A,17,17,20
160,6A:9A,6,A,9,A,17,17,20
161,8A:6A,8,A,6,A,17,17,20
162,12A:6A,12,A,6,A,17,17,20
163,7A:3A,7,A,3,A,17,17,20
164,19A:12A,19,A,12,A,17,17,20
165,0B:15A,0,B,15,A,17,16,20
166,9A:17B,9,A,17,B,16,17,20
167,18A:12A,18,A,12,A,17,17,20
168,18A:4A,18,A,4,A,17,17,20
169,15B:9A,15,B,9,A,17,16,20
170,9B:1B,9,B,1,B,16,16,20
171,18A:7A,18,A,7,A,16,16,20
172,4A:17A,4,A,17,A,16,16,20
173,11A:1B,11,A,1,B,16,17,20
174,1A:13A,1,A,13,A,17,17,20
175,18A:8A,18,A,8,A,17,17,20
176,10A:6A,10,A,6,A,17,17,20
177,15B:12A,15,B,12,A,17,16,20
178,17A:13A,17,A,13,A,16,16,20
179,4A:7A,4,A,7,A,16,16,20
180,12B:18A,12,B,18,A,16,15,20
181,8A:10A,8,A,10,A,15,15,20
182,3A:14A,3,A,14,A,15,15,20
183,17A:1A,17,A,1,A,15,15,20
184,9B:11A,9,B,11,A,15,14,20
185,13A:9B,13,A,9,B,14,15,20
186,12B:9A,12,B,9,A,15,14,20
187,17A:10A,17,A,10,A,14,14,20
188,4A:14A,4,A,14,A,14,14,20
189,18B:1A,18,B,1,A,14,13,20
190,3A:12B,3,A,12,B,13,14,20
191,8A:9B,8,A,9,B,14,15,20
192,19A:4A,19,A,4,A,15,15,20
193,4A:10A,4,A,10,A,15,15,20
194,9A:13A,9,A,13,A,15,15,20
195,18B:6A,18,B,6,A,15,14,20
196,0B:12A,0,B,12,A,14,13,20
197,17A:9A,17,A,9,A,13,13,20
198,15B:13A,15,B,13,A,13,12,20
199,16A:9A,16,A,9,A,12,12,20
200,4A:11B,4,A,11,B,12,13,20
201,17A:6B,17,A,6,B,13,14,20
202,1B:19A,1,B,19,A,14,13,20
203,5A:14A,5,A,14,A,13,13,20
204,5A:6A,5,A,6,A,13,13,20
205,10A:13B,10,A,13,B,13,14,20
206,17A:9A,17,A,9,A,14,14,20
207,2A:3A,2,A,3,A,14,14,20
208,0B:4A,0,B,4,A,14,13,20
209,9A:7A,9,A,7,A,13,13,20
210,9A:9A,9,A,9,A,13,13,20
211,11A:15B,11,A,15,B,13,14,20
212,9A:2A,9,A,2,A,14,14,20
213,3A:2A,3,A,2,A,14,14,20
214,1B:11A,1,B,11,A,14,13,20
215,8A:14A,8,A,14,A,13,13,20
216,1B:12B,1,B,12,B,13,13,20
217,5A:9A,5,A,9,A,13,13,20
218,19B:19B,19,B,19,B,13,13,20
219,19B:8A,19,B,8,A,13,12,20
220,5A:3A,5,A,3,A,12,12,20
221,13A:9A,13,A,9,A,12,12,20
222,8B:13A,8,B,13,A,12,11,20
223,5A:3A,5,A,3,A,11,11,20
224,18B:9A,18,B,9,A,11,10,20
225,18B:16A,18,B,16,A,10,9,20
226,10A:0B,10,A,0,B,9,10,20
227,2A:14A,2,A,14,A,10,10,20
228,10A:13B,10,A,13,B,10,11,20
229,8B:5A,8,B,5,A,11,10,20
230,10A:7A,10,A,7,A,10,10,20
231,6A:8B,6,A,8,B,10,11,20
232,13A:11B,13,A,11,B,11,12,20
233,11A:16B,11,A,16,B,12,13,20
234,17A:15A,17,A,15,A,13,13,20
235,8A:10A,8,A,10,A,13,13,20
236,6A:5B,6,A,5,B,13,14,20
237,5A:17A,5,A,17,A,14,14,20
238,0A:15A,0,A,15,A,14,14,20
239,18B:19B,18,B,19,B,14,14,20
240,14A:8A,14,A,8,A,14,14,20
241,19B:8A,19,B,8,A,14,13,20
242,8B:7A,8,B,7,A,13,12,20
243,7B:10A,7,B,10,A,12,11,20
244,1B:2A,1,B,2,A,11,10,20
245,17A:10B,17,A,10,B,10,11,20
246,10A:6A,10,A,6,A,11,11,20
247,5A:16A,5,A,16,A,11,11,20
248,8B:19B,8,B,19,B,11,11,20
249,6A:3A,6,A,3,A,11,11,20
250,19B:16A,19,B,16,A,11,10,20
251,19B:12B,19,B,12,B,10,10,20
252,18B:15A,18,B,15,A,10,9,20
253,16B:0A,16,B,0,A,9,8,20
254,10A:3A,10,A,3,A,8,8,20
255,8B:0B,8,B,0,B,8,8,20
256,7B:14A,7,B,14,A,8,7,20
257,11A:5A,11,A,5,A,7,7,20
258,0B:9B,0,B,9,B,7,7,20
259,0B:15B,0,B,15,B,7,7,20
260,8B:1B,8,B,1,B,7,7,20
261,9B:13A,9,B,13,A,7,6,20
262,13B:2B,13,B,2,B,6,6,20
263,5A:7B,5,A,7,B,6,7,20
264,0B:4B,0,B,4,B,7,7,20
265,13B:16B,13,B,16,B,7,7,20
266,7A:13B,7,A,13,B,7,8,20
267,18B:18B,18,B,18,B,8,8,20
268,19B:13A,19,B,13,A,8,7,20
269,5A:1B,5,A,1,B,7,8,20
270,13B:14B,13,B,14,B,8,8,20
271,0B:7A,0,B,7,A,8,7,20
272,4B:2B,4,B,2,B,7,7,20
273,4B:0B,4,B,0,B,7,7,20
274,2B:17A,2,B,17,A,7,6,20
275,19B:13B,19,B,13,B,6,6,20
276,0B:12B,0,B,12,B,6,6,20
277,16B:13B,16,B,13,B,6,6,20
278,15B:9B,15,B,9,B,6,6,20
279,5A:1A,5,A,1,A,6,6,20
280,1A:18B,1,A,18,B,6,7,20
281,4B:2B,4,B,2,B,7,7,20
282,2B:2B,2,B,2,B,7,7,20
283,18A:14B,18,A,14,B,7,8,20
284,3A:13B,3,A,13,B,8,9,20
285,7B:10A,7,B,10,A,9,8,20
286,15B:1A,15,B,1,A,8,7,20
287,16B:13A,16,B,13,A,7,6,20
288,18A:19B,18,A,19,B,6,7,20
289,18A:2B,18,A,2,B,7,8,20
290,11A:11A,11,A,11,A,8,8,20
291,15B:9B,15,B,9,B,8,8,20
292,4B:5A,4,B,5,A,8,7,20
293,4B:15B,4,B,15,B,7,7,20
294,19A:2A,19,A,2,A,7,7,20
295,9B:16B,9,B,16,B,7,7,20
296,14A:6A,14,A,6,A,7,7,20
297,7B:15B,7,B,15,B,7,7,20
298,16B:4B,16,B,4,B,7,7,20
299,2A:11A,2,A,11,A,7,7,20
300,4B:19A,4,B,19,A,7,6,20
301,5B:17B,5,B,17,B,6,6,20
302,0B:1B,0,B,1,B,6,6,20
303,9B:13B,9,B,13,B,6,6,20
304,16B:5B,16,B,5,B,6,6,20
305,5B:14A,5,B,14,A,6,5,20
306,8B:5B,8,B,5,B,5,5,20
307,14B:18A,14,B,18,A,5,4,20
308,16B:18B,16,B,18,B,4,4,20
309,12B:7B,12,B,7,B,4,4,20
310,11A:3A,11,A,3,A,4,4,20
311,3A:4B,3,A,4,B,4,5,20
312,9B:7B,9,B,7,B,5,5,20
313,17B:19B,17,B,19,B,5,5,20
314,9B:4A,9,B,4,A,5,4,20
315,12B:10B,12,B,10,B,4,4,20
316,17B:14B,17,B,14,B,4,4,20
317,4B:19B,4,B,19,B,4,4,20
318,10B:15B,10,B,15,B,4,4,20
319,16B:13B,16,B,13,B,4,4,20
320,15B:13B,15,B,13,B,4,4,20
321,13B:6A,13,B,6,A,4,3,20
322,14B:6B,14,B,6,B,3,3,20
323,15B:11A,15,B,11,A,3,2,20
324,11B:7B,11,B,7,B,2,2,20
325,16B:15B,16,B,15,B,2,2,20
326,14B:0B,14,B,0,B,2,2,20
327,4B:16B,4,B,16,B,2,2,20
328,3A:11B,3,A,11,B,2,3,20
329,11A:16B,11,A,16,B,3,4,20
330,15B:18B,15,B,18,B,4,4,20
331,15B:12B,15,B,12,B,4,4,20
332,3A:7B,3,A,7,B,4,5,20
333,15B:5B,15,B,5,B,5,5,20
334,9B:13B,9,B,13,B,5,5,20
335,17B:5B,17,B,5,B,5,5,20
336,8B:9B,8,B,9,B,5,5,20
337,0B:12B,0,B,12,B,5,5,20
338,1B:5B,1,B,5,B,5,5,20
339,5B:16A,5,B,16,A,5,4,20
340,4B:4B,4,B,4,B,4,4,20
341,9B:8B,9,B,8,B,4,4,20
342,19B:13B,19,B,13,B,4,4,20
343,6B:6B,6,B,6,B,4,4,20
344,18B:0B,18,B,0,B,4,4,20
345,15B:16B,15,B,16,B,4,4,20
346,3A:13B,3,A,13,B,4,5,20
347,16B:4B,16,B,4,B,5,5,20
348,17B:4B,17,B,4,B,5,5,20
349,10B:1B,10,B,1,B,5,5,20
350,9B:11A,9,B,11,A,5,4,20
351,17B:9B,17,B,9,B,4,4,20
352,14B:9B,14,B,9,B,4,4,20
353,10B:12B,10,B,12,B,4,4,20
354,14B:18B,14,B,18,B,4,4,20
355,3A:9B,3,A,9,B,4,5,20
356,9A:5B,9,A,5,B,5,6,20
357,9A:11B,9,A,11,B,6,7,20
358,16B:2A,16,B,2,A,7,6,20
359,0B:18B,0,B,18,B,6,6,20
360,18B:8B,18,B,8,B,6,6,20
361,10B:2B,10,B,2,B,6,6,20
362,3A:14B,3,A,14,B,6,7,20
363,15B:2B,15,B,2,B,7,7,20
364,7A:16B,7,A,16,B,7,8,20
365,3A:14A,3,A,14,A,8,8,20
366,5A:1B,5,A,1,B,8,9,20
367,16A:8B,16,A,8,B,9,10,20
368,18B:11A,18,B,11,A,10,9,20
369,0B:4B,0,B,4,B,9,9,20
370,7A:15B,7,A,15,B,9,10,20
371,16A:6B,16,A,6,B,10,11,20
372,16A:5A,16,A,5,A,11,11,20
373,6A:0B,6,A,0,B,11,12,20
374,15A:5A,15,A,5,A,12,12,20
375,13A:6A,13,A,6,A,12,12,20
376,4B:16A,4,B,16,A,12,11,20
377,18B:11B,18,B,11,B,11,11,20
378,1A:6A,1,A,6,A,11,11,20
379,12B:16B,12,B,16,B,11,11,20
380,7A:11B,7,A,11,B,11,12,20
381,4B:10B,4,B,10,B,12,12,20
382,14A:15A,14,A,15,A,12,12,20
383,7A:19B,7,A,19,B,12,13,20
384,6A:16B,6,A,16,B,13,14,20
385,5A:7A,5,A,7,A,14,14,20
386,2B:0A,2,B,0,A,14,13,20
387,12B:13A,12,B,13,A,13,12,20
388,5A:3A,5,A,3,A,12,12,20
389,1A:18B,1,A,18,B,12,13,20
390,1A:4B,1,A,4,B,13,14,20
391,8A:8A,8,A,8,A,14,14,20
392,1A:17B,1,A,17,B,14,15,20
393,14A:11A,14,A,11,A,15,15,20
394,5A:8A,5,A,8,A,15,15,20
395,15A:4A,15,A,4,A,15,15,20
396,0B:7A,0,B,7,A,15,14,20
397,19A:15A,19,A,15,A,14,14,20
398,10B:0B,10,B,0,B,14,14,20
399,12B:14A,12,B,14,A,14,13,20
400,10B:13B,10,B,13,B,13,13,20
401,7B:2B,7,B,2,B,13,13,20
402,14B:9A,14,B,9,A,13,12,20
403,4A:6A,4,A,6,A,12,12,20
404,14B:18A,14,B,18,A,12,11,20
405,12B:2B,12,B,2,B,11,11,20
406,12B:15A,12,B,15,A,11,10,20
407,19A:6A,19,A,6,A,10,10,20
408,15B:19A,15,B,19,A,10,9,20
409,0B:3A,0,B,3,A,9,8,20
410,10B:3B,10,B,3,B,8,8,20
411,13B:9B,13,B,9,B,8,8,20
412,8A:15B,8,A,15,B,8,9,20
413,18B:19B,18,B,19,B,9,9,20
414,10B:4A,10,B,4,A,9,8,20
415,7B:2B,7,B,2,B,8,8,20
416,13B:19B,13,B,19,B,8,8,20
417,1A:16A,1,A,16,A,8,8,20
418,7B:6A,7,B,6,A,8,7,20
419,11A:0B,11,A,0,B,7,8,20
420,3B:2B,3,B,2,B,8,8,20
421,13B:11A,13,B,11,A,8,7,20
422,17A:13B,17,A,13,B,7,8,20
423,11B:0A,11,B,0,A,8,7,20
424,4B:16A,4,B,16,A,7,6,20
425,14B:2B,14,B,2,B,6,6,20
426,11B:5A,11,B,5,A,6,5,20
427,19B:1A,19,B,1,A,5,4,20
428,3B:2B,3,B,2,B,4,4,20
429,3B:18B,3,B,18,B,4,4,20
430,15A:3B,15,A,3,B,4,5,20
431,2B:7B,2,B,7,B,5,5,20
432,19B:9B,19,B,9,B,5,5,20
433,16B:3A,16,B,3,A,5,4,20
434,7B:9B,7,B,9,B,4,4,20
435,12B:15A,12,B,15,A,4,3,20
436,2B:14B,2,B,14,B,3,3,20
437,0B:1B,0,B,1,B,3,3,20
438,9B:1B,9,B,1,B,3,3,20
439,1B:12B,1,B,12,B,3,3,20
440,18B:13A,18,B,13,A,3,2,20
441,3B:8A,3,B,8,A,2,1,20
442,0B:13B,0,B,13,B,1,1,20
443,11B:3B,11,B,3,B,1,1,20
444,11B:7B,11,B,7,B,1,1,20
445,14B:5B,14,B,5,B,1,1,20
446,8B:4B,8,B,4,B,1,1,20
447,3B:12B,3,B,12,B,1,1,20
448,14B:2B,14,B,2,B,1,1,20
449,18B:13B,18,B,13,B,1,1,20
450,4B:13B,4,B,13,B,1,1,20
451,0B:14B,0,B,14,B,1,1,20
452,10B:9B,10,B,9,B,1,1,20
453,2B:19B,2,B,19,B,1,1,20
454,5B:18B,5,B,18,B,1,1,20
455,3B:4B,3,B,4,B,1,1,20
456,2B:17A,2,B,17,A,1,0,20
