step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,7B:14B,7,B,14,B,3,3,15
1,11B:10B,11,B,10,B,3,3,15
2,0A:11B,0,A,11,B,3,4,15
3,12B:4B,12,B,4,B,4,4,15
4,2A:7B,2,A,7,B,4,5,15
5,0A:1A,0,A,1,A,5,5,15
6,4B:6B,4,B,6,B,5,5,15
7,11A:4B,11,A,4,B,5,6,15
8,0A:5B,0,A,5,B,6,7,15
9,11A:0A,11,A,0,A,7,7,15
10,1A:13B,1,A,13,B,7,8,15
11,7A:11A,7,A,11,A,8,8,15
12,2A:2A,2,A,2,A,8,8,15
13,5A:1A,5,A,1,A,8,8,15
14,0A:13A,0,A,13,A,8,8,15
15,3B:3B,3,B,3,B,8,8,15
16,11A:1A,11,A,1,A,8,8,15
17,0A:2A,0,A,2,A,8,8,15
18,2A:13A,2,A,13,A,8,8,15
19,5A:4A,5,A,4,A,8,8,15
20,0A:7A,0,A,7,A,8,8,15
21,11A:10B,11,A,10,B,8,9,15
22,1A:5A,1,A,5,A,9,9,15
23,5A:1A,5,A,1,A,9,9,15
24,13A:13A,13,A,13,A,9,9,15
25,5A:6B,5,A,6,B,9,10,15
26,4A:5A,4,A,5,A,10,10,15
27,3B:2A,3,B,2,A,10,9,15
28,10A:12B,10,A,12,B,9,10,15
29,0A:8B,0,A,8,B,10,11,15
30,4A:1A,4,A,1,A,11,11,15
31,10A:2B,10,A,2,B,11,12,15
32,8A:4A,8,A,4,A,12,12,15
33,7A:11A,7,A,11,A,12,12,15
34,8A:9B,8,A,9,B,12,13,15
35,12A:13A,12,A,13,A,13,13,15
36,1A:6A,1,A,6,A,13,13,15
37,10A:14B,10,A,14,B,13,14,15
38,9A:11A,9,A,11,A,14,14,15
39,1A:4A,1,A,4,A,14,14,15
40,4A:1A,4,A,1,A,14,14,15
41,10A:8A,10,A,8,A,14,14,15
42,9A:8A,9,A,8,A,14,14,15
43,8A:14A,8,A,14,A,14,14,15
44,2A:10A,2,A,10,A,14,14,15
45,6A:6A,6,A,6,A,14,14,15
46,10A:7A,10,A,7,A,14,14,15
47,9A:10A,9,A,10,A,14,14,15
48,10A:12A,10,A,12,A,14,14,15
49,2A:12A,2,A,12,A,14,14,15
50,0A:7A,0,A,7,A,14,14,15
51,9A:2A,9,A,2,A,14,14,15
52,2A:0A,2,A,0,A,14,14,15
53,13A:2A,13,A,2,A,14,14,15
54,1A:5A,1,A,5,A,14,14,15
55,9A:4A,9,A,4,A,14,14,15
56,8A:2A,8,A,2,A,14,14,15
57,6A:3B,6,A,3,B,14,15,15
